lobe,length_left,norm_length_left,sex,gene,line,driver,length_right,norm_length_right,avg_norm_length
beta,53.19024503,0.495691062,F,osa,35447,ubi156,51.77706666,0.482521356,0.489106209
alpha,60.98425028,0.479163374,M,osa,35447,ubi156,63.07143845,0.495562758,0.487363066
beta,54.09494777,0.470389851,M,osa,35447,ubi156,57.96888166,0.504076162,0.487233007
beta,60.293,0.505008795,M,osa,35447,ubi156,54.865,0.45954435,0.482276573
beta,53.42226673,0.493863572,M,osa,35447,ubi156,50.85908827,0.4701682,0.482015886
beta,54.39751972,0.508179801,F,osa,35447,ubi156,48.78028518,0.455703784,0.481941793
beta,49.84445558,0.475369207,F,osa,35447,ubi156,51.19948446,0.488292189,0.481830698
beta,52.311,0.479609425,M,osa,35447,ubi156,52.791,0.484010269,0.481809847
alpha,66.60203896,0.548965936,F,osa,35447,ubi156,50.03232032,0.412390371,0.480678154
beta,49.36344749,0.483680298,F,osa,35447,ubi156,48.41056354,0.474343608,0.479011953
beta,50.11849073,0.472253826,M,osa,35447,ubi156,51.2336043,0.482761258,0.477507542
alpha,65.34640466,0.444836556,F,osa,35447,ubi156,74.66127447,0.508246236,0.476541396
beta,48.6615108,0.470380776,F,osa,35447,ubi156,49.82161714,0.481594808,0.475987792
beta,61.051827,0.472525234,F,osa,35447,ubi156,61.65097606,0.477162492,0.474843863
beta,56.61650757,0.466660399,F,osa,35447,ubi156,58.43163816,0.481621576,0.474140988
beta,58.31886893,0.45822103,M,osa,35447,ubi156,61.02501426,0.479483663,0.468852347
alpha,61.56083802,0.476464847,F,osa,35447,ubi156,59.3840202,0.459616844,0.468040846
beta,60.56884677,0.484819894,M,osa,35447,ubi156,56.31174631,0.450744175,0.467782035
beta,56.12514163,0.486831795,M,osa,35447,ubi156,51.10187233,0.44325975,0.465045773
beta,61.10454163,0.451608312,F,osa,35447,ubi156,63.71893729,0.470930653,0.461269483
beta,48.83315869,0.458902452,M,osa,35447,ubi156,48.75770499,0.458193387,0.45854792
beta,57.61883356,0.449280109,F,osa,35447,ubi156,59.40289158,0.463191216,0.456235663
beta,55.30008149,0.44895405,F,osa,35447,ubi156,52.66947899,0.427597487,0.438275769
beta,57.04130533,0.388300748,F,osa,35447,ubi156,70.4136566,0.479331168,0.433815958
beta,65.12338923,0.376799224,F,osa,35447,ubi156,75.42750592,0.436418099,0.406608662
beta,57.24015546,0.412305075,F,osa,35447,ubi156,54.50375822,0.392594603,0.402449839
alpha,57.85711059,0.334757061,F,osa,35447,ubi156,57.40393393,0.332135014,0.333446038
alpha,66.57726096,0.671161272,M,vtd,36786,ubi156,68.4905528,0.690449049,0.680805161
alpha,74.13067539,0.708811922,F,vtd,36786,ubi156,65.43660808,0.625682252,0.667247087
alpha,64.91595174,0.682453219,M,vtd,36786,ubi156,61.77497999,0.649432579,0.665942899
alpha,69.1023716,0.665546845,M,vtd,36786,ubi156,69.16794156,0.66617837,0.665862608
alpha,68.18901811,0.688018873,M,vtd,36786,ubi156,62.5757299,0.63138148,0.659700177
alpha,70.84670735,0.654183356,M,vtd,36786,ubi156,71.42015345,0.659478434,0.656830895
alpha,68.12137733,0.671626194,M,vtd,36786,ubi156,64.54284467,0.636344519,0.653985357
alpha,73.50458768,0.66846792,M,vtd,36786,ubi156,69.07972867,0.628227216,0.648347568
alpha,58.76307884,0.58227195,M,vtd,36786,ubi156,68.0018841,0.673817479,0.628044715
alpha,66.19685404,0.634776876,M,vtd,36786,ubi156,64.54791859,0.618964855,0.626870866
alpha,66.07412141,0.633673154,F,vtd,36786,ubi156,64.20339169,0.615732224,0.624702689
alpha,58.74143794,0.614186208,M,vtd,36786,ubi156,60.61708328,0.6337975,0.623991854
alpha,68.88839422,0.626394755,M,vtd,36786,ubi156,66.60743948,0.605654279,0.616024517
alpha,72.64327596,0.631051521,F,vtd,36786,ubi156,67.79191272,0.58890777,0.609979646
alpha,67.28183617,0.582424666,F,vtd,36786,ubi156,72.83844586,0.630525412,0.606475039
alpha,53.95661045,0.547068921,F,vtd,36786,ubi156,65.47860131,0.663890994,0.605479958
alpha,65.33281216,0.61962577,M,vtd,36786,ubi156,59.7415691,0.566597618,0.593111694
alpha,70.95602242,0.551826601,F,vtd,36786,ubi156,78.72238243,0.61222576,0.582026181
beta,53.59666094,0.563454942,M,vtd,36786,ubi156,56.0398342,0.589139714,0.576297328
alpha,61.61937616,0.564232855,M,vtd,36786,ubi156,63.71453809,0.583417716,0.573825286
alpha,62.92541569,0.572423734,M,vtd,36786,ubi156,61.94372495,0.56349343,0.567958582
alpha,64.02650964,0.517051468,F,vtd,36786,ubi156,74.57486497,0.602235599,0.559643534
alpha,66.17319277,0.538806627,F,vtd,36786,ubi156,69.52065923,0.566062938,0.552434783
alpha,62.47998708,0.56086186,M,vtd,36786,ubi156,60.44768092,0.54261853,0.551740195
alpha,65.8438258,0.565338303,F,vtd,36786,ubi156,60.42265861,0.518791897,0.5420651
alpha,57.59632698,0.541172925,M,vtd,36786,ubi156,57.77348645,0.542837509,0.542005217
alpha,69.18563763,0.535532027,F,vtd,36786,ubi156,68.64187752,0.531323047,0.533427537
alpha,55.76597212,0.519963143,F,vtd,36786,ubi156,58.44658307,0.544957218,0.532460181
beta,49.935809,0.52211669,M,vtd,36786,ubi156,50.58730444,0.528928568,0.525522629
beta,54.39074662,0.502232531,M,vtd,36786,ubi156,59.35359197,0.548058384,0.525145458
beta,60.17668255,0.480180917,F,vtd,36786,ubi156,71.20586311,0.568188461,0.524184689
alpha,57.87009577,0.533997333,M,vtd,36786,ubi156,55.16148494,0.509003578,0.521500456
alpha,61.42732706,0.537903153,F,vtd,36786,ubi156,56.47689718,0.494553524,0.516228339
beta,53.36358635,0.511715717,M,vtd,36786,ubi156,53.8430079,0.516313001,0.514014359
beta,53.57901563,0.487260105,M,vtd,36786,ubi156,59.07329229,0.537226343,0.512243224
beta,57.30538836,0.528786485,M,vtd,36786,ubi156,53.57952151,0.494405983,0.511596234
alpha,66.07827692,0.522006221,M,vtd,36786,ubi156,63.22993441,0.49950484,0.510755531
alpha,66.24728075,0.530213237,F,vtd,36786,ubi156,61.36692407,0.491153072,0.510683155
beta,55.40518692,0.497353755,M,vtd,36786,ubi156,57.91617527,0.519894054,0.508623905
alpha,58.60850769,0.535566054,M,vtd,36786,ubi156,52.64808227,0.481099533,0.508332794
beta,56.97177266,0.49888702,F,vtd,36786,ubi156,58.66692605,0.513731038,0.506309029
beta,52.05576223,0.524770936,M,vtd,36786,ubi156,48.31515569,0.487062112,0.505916524
beta,46.07571376,0.45655531,M,vtd,36786,ubi156,55.87952065,0.553699331,0.505127321
beta,54.10839865,0.492001845,M,vtd,36786,ubi156,56.87814388,0.517186841,0.504594343
alpha,52.00093035,0.482942752,F,vtd,36786,ubi156,56.18851999,0.521833711,0.502388232
alpha,69.63332852,0.507767748,F,vtd,36786,ubi156,67.72434099,0.49384737,0.500807559
beta,56.05743051,0.512254245,M,vtd,36786,ubi156,53.04605869,0.484736252,0.498495249
beta,48.25317428,0.489241481,F,vtd,36786,ubi156,50.04361959,0.5073949,0.498318191
beta,59.25261301,0.54256101,M,vtd,36786,ubi156,49.57729839,0.453966631,0.498263821
beta,55.92047865,0.525426717,M,vtd,36786,ubi156,50.0716198,0.470471059,0.497948888
beta,50.73846549,0.486599031,F,vtd,36786,ubi156,52.90039649,0.50733268,0.496965856
beta,55.76159552,0.484400507,F,vtd,36786,ubi156,58.36806611,0.507042894,0.495721701
beta,51.00587039,0.483746997,M,vtd,36786,ubi156,53.44417673,0.506872244,0.495309621
beta,49.95466302,0.504036455,M,vtd,36786,ubi156,47.18879646,0.476129199,0.490082827
beta,49.67745466,0.463193673,F,vtd,36786,ubi156,55.35386716,0.516120667,0.48965717
alpha,60.14533588,0.470628597,F,vtd,36786,ubi156,63.8865547,0.499903096,0.485265847
alpha,66.41784996,0.462236339,F,vtd,36786,ubi156,72.66692622,0.505726909,0.483981624
beta,60.19496848,0.490129712,F,vtd,36786,ubi156,58.49254214,0.476267927,0.48319882
beta,52.98809601,0.510345149,M,vtd,36786,ubi156,46.86435633,0.451365471,0.48085531
beta,50.04922359,0.478553395,F,vtd,36786,ubi156,50.0524279,0.478584033,0.478568714
alpha,56.2157054,0.446674765,F,vtd,36786,ubi156,64.15915705,0.50979128,0.478233023
beta,48.23796645,0.475590528,M,vtd,36786,ubi156,48.67716283,0.479920678,0.477755603
beta,55.34283688,0.475176299,F,vtd,36786,ubi156,55.50638509,0.476580532,0.475878416
beta,58.91187224,0.464021042,M,vtd,36786,ubi156,61.82915788,0.486999126,0.475510084
alpha,56.94538292,0.454396704,F,vtd,36786,ubi156,61.47273497,0.49052279,0.472459747
beta,66.55704986,0.485335457,F,vtd,36786,ubi156,62.69813887,0.457196194,0.471265826
alpha,58.34743306,0.459575221,M,vtd,36786,ubi156,61.08837322,0.481164314,0.470369768
beta,59.71866091,0.462252812,F,vtd,36786,ubi156,61.45617343,0.475702043,0.468977428
beta,59.59147805,0.47349774,F,vtd,36786,ubi156,58.33820839,0.463539599,0.46851867
beta,52.98190512,0.481969005,M,vtd,36786,ubi156,49.85048802,0.45348294,0.467725973
beta,58.43572032,0.454455927,F,vtd,36786,ubi156,61.7570103,0.480285675,0.467370801
beta,53.50309599,0.463149114,F,vtd,36786,ubi156,53.82349982,0.465922687,0.464535901
beta,49.70990553,0.461665559,F,vtd,36786,ubi156,50.04803704,0.464805852,0.463235706
beta,60.96182987,0.481587232,M,vtd,36786,ubi156,56.20613461,0.444018115,0.462802674
beta,54.10283715,0.436912015,F,vtd,36786,ubi156,59.52825715,0.480725451,0.458818733
beta,57.16415084,0.457515979,F,vtd,36786,ubi156,0,0,0.457515979
beta,64.73654076,0.450535235,F,vtd,36786,ubi156,63.07376181,0.438963092,0.444749164
beta,54.88089866,0.429435133,F,vtd,36786,ubi156,57.95097423,0.453458033,0.441446583
alpha,62.7425602,0.453572425,F,vtd,36786,ubi156,59.27188302,0.428482543,0.441027484
beta,59.15015907,0.427602588,F,vtd,36786,ubi156,57.97951752,0.4191399,0.423371244
alpha,74.97462261,0.739931617,M,SMC3,60017,ubi156,75.20932712,0.742247938,0.741089778
alpha,66.3250947,0.667504475,F,SMC3,60017,ubi156,71.67030773,0.721299402,0.694401939
alpha,70.91873154,0.694607577,M,SMC3,60017,ubi156,70.21635548,0.687728214,0.691167896
alpha,76.03727331,0.681062035,M,SMC3,60017,ubi156,77.638247,0.695401876,0.688231956
alpha,66.01193252,0.671880659,M,SMC3,60017,ubi156,67.84576034,0.69054567,0.681213165
alpha,68.05165385,0.667291974,F,SMC3,60017,ubi156,66.36124747,0.650716409,0.659004192
alpha,69.82107638,0.651346343,M,SMC3,60017,ubi156,69.03301455,0.643994677,0.64767051
alpha,71.99449518,0.647919171,F,SMC3,60017,ubi156,69.49611724,0.625434855,0.636677013
alpha,64.31056895,0.597652394,F,SMC3,60017,ubi156,70.24303073,0.652784078,0.625218236
alpha,66.6849126,0.632941177,M,SMC3,60017,ubi156,64.99774368,0.616927379,0.624934278
alpha,72.06640082,0.6467279,F,SMC3,60017,ubi156,66.41263174,0.595990661,0.621359281
alpha,71.98216266,0.624444119,F,SMC3,60017,ubi156,71.25407625,0.618127981,0.62128605
alpha,65.97851325,0.62105184,F,SMC3,60017,ubi156,65.33413549,0.61498635,0.618019095
alpha,67.36481435,0.619015641,F,SMC3,60017,ubi156,66.74337273,0.61330521,0.616160426
alpha,66.91561504,0.625297213,F,SMC3,60017,ubi156,63.34942267,0.591972702,0.608634958
alpha,64.39957061,0.569578266,M,SMC3,60017,ubi156,73.11372905,0.646650135,0.608114201
alpha,76.02656251,0.620333844,M,SMC3,60017,ubi156,71.11655563,0.580270959,0.600302402
alpha,65.85183973,0.601633709,M,SMC3,60017,ubi156,64.27073242,0.587188442,0.594411076
alpha,71.06068184,0.603363708,F,SMC3,60017,ubi156,67.86596781,0.576237955,0.589800832
alpha,65.68689452,0.586188037,M,SMC3,60017,ubi156,66.3490542,0.592097132,0.589142585
alpha,62.73305299,0.581006791,M,SMC3,60017,ubi156,64.4638935,0.597037098,0.589021945
alpha,70.13288673,0.597903127,F,SMC3,60017,ubi156,67.01284815,0.571303896,0.584603512
alpha,67.48414671,0.615114047,F,SMC3,60017,ubi156,60.68068957,0.553100934,0.584107491
alpha,67.86937999,0.602436485,F,SMC3,60017,ubi156,61.54836663,0.546328575,0.57438253
beta,64.15277403,0.529826941,M,SMC3,60017,ubi156,74.82778005,0.617990015,0.573908478
alpha,61.87613196,0.545033974,M,SMC3,60017,ubi156,68.35660476,0.602117016,0.573575495
alpha,64.97738498,0.560013186,M,SMC3,60017,ubi156,67.87223845,0.58496273,0.572487958
alpha,68.55526209,0.580632869,M,SMC3,60017,ubi156,66.24177619,0.561038662,0.570835766
alpha,65.48473568,0.584332403,M,SMC3,60017,ubi156,61.30292921,0.547017371,0.565674887
alpha,65.96210724,0.571786118,F,SMC3,60017,ubi156,63.84449304,0.553429785,0.562607952
alpha,74.665931,0.540964486,M,SMC3,60017,ubi156,80.61210459,0.584045295,0.562504891
alpha,63.20077996,0.560617694,M,SMC3,60017,ubi156,59.95581023,0.531833438,0.546225566
alpha,60.28658486,0.511257809,M,SMC3,60017,ubi156,67.97585479,0.576466335,0.543862072
beta,54.90209855,0.537734007,M,SMC3,60017,ubi156,55.57283144,0.544303444,0.541018726
alpha,67.9440343,0.548621202,F,SMC3,60017,ubi156,64.61798525,0.521764672,0.535192937
beta,55.88102948,0.517546271,M,SMC3,60017,ubi156,59.07796019,0.54715488,0.532350576
beta,55.63404506,0.523679973,F,SMC3,60017,ubi156,57.05966167,0.537099218,0.530389596
beta,53.37323453,0.497907837,M,SMC3,60017,ubi156,58.0567006,0.541598921,0.519753379
beta,57.32821508,0.544131896,M,SMC3,60017,ubi156,51.603409,0.489794785,0.516963341
alpha,69.66865606,0.53861889,M,SMC3,60017,ubi156,63.32391801,0.489566763,0.514092827
beta,55.10961492,0.493614051,M,SMC3,60017,ubi156,59.38037607,0.531867044,0.512740548
alpha,65.45177508,0.548352715,F,SMC3,60017,ubi156,56.91988422,0.476872828,0.512612772
beta,50.20558987,0.505275659,F,SMC3,60017,ubi156,50.40756411,0.507308354,0.506292007
beta,54.02667328,0.492449965,F,SMC3,60017,ubi156,56.63994819,0.516269812,0.504359889
beta,50.26519719,0.469706326,F,SMC3,60017,ubi156,57.58339807,0.538091719,0.503899023
beta,62.24259703,0.521466332,F,SMC3,60017,ubi156,57.98531732,0.48579899,0.503632661
beta,49.61797026,0.505020127,M,SMC3,60017,ubi156,48.45616271,0.493195052,0.49910759
beta,55.84336759,0.513145004,F,SMC3,60017,ubi156,52.32812947,0.480843462,0.496994233
beta,55.11984697,0.488936395,M,SMC3,60017,ubi156,56.86452906,0.504412464,0.49667443
beta,51.17922296,0.501846506,F,SMC3,60017,ubi156,49.81559335,0.488475206,0.495160856
beta,54.51162608,0.506588642,F,SMC3,60017,ubi156,52.03010663,0.483527331,0.495057987
beta,56.57994626,0.490457767,F,SMC3,60017,ubi156,57.2658309,0.496403292,0.49343053
beta,56.00722398,0.504040677,F,SMC3,60017,ubi156,53.46719131,0.481181487,0.492611082
beta,60.75452825,0.51456409,M,SMC3,60017,ubi156,54.9045959,0.46501774,0.489790915
beta,50.98283735,0.450914747,M,SMC3,60017,ubi156,59.72658155,0.528248286,0.489581517
beta,54.74815199,0.466743817,F,SMC3,60017,ubi156,59.2358416,0.505002668,0.485873243
beta,60.38827018,0.492734204,M,SMC3,60017,ubi156,58.50889405,0.477399555,0.48506688
beta,53.74694748,0.491041336,M,SMC3,60017,ubi156,52.08228951,0.475832735,0.483437036
beta,52.243224,0.515593301,M,SMC3,60017,ubi156,45.53158342,0.449355488,0.482474395
beta,57.39420745,0.463435524,F,SMC3,60017,ubi156,62.06571821,0.501156125,0.482295825
beta,57.17873849,0.507541961,F,SMC3,60017,ubi156,50.8909066,0.451728584,0.479635273
beta,51.55581448,0.460082668,M,SMC3,60017,ubi156,55.80907418,0.498038641,0.479060655
beta,53.78494224,0.473762982,M,SMC3,60017,ubi156,54.89248018,0.483518695,0.478640839
beta,53.60434394,0.478321471,M,SMC3,60017,ubi156,53.0965301,0.473790155,0.476055813
beta,58.66608754,0.498123395,F,SMC3,60017,ubi156,53.34671685,0.452957558,0.475540477
beta,55.30146676,0.479739347,F,SMC3,60017,ubi156,54.30092321,0.471059647,0.475399497
beta,57.93759063,0.447924254,M,SMC3,60017,ubi156,64.69304636,0.500151701,0.474037978
beta,54.56471145,0.470270663,M,SMC3,60017,ubi156,55.31098756,0.476702508,0.473486586
alpha,62.96652137,0.460600424,F,SMC3,60017,ubi156,66.13629358,0.483787324,0.472193874
beta,61.31206275,0.448498051,F,SMC3,60017,ubi156,64.86312221,0.474474069,0.46148606
beta,55.7322496,0.472634964,M,SMC3,60017,ubi156,52.58506643,0.445945411,0.459290188
beta,52.85646452,0.474336861,F,SMC3,60017,ubi156,46.51914001,0.417465357,0.445901109
beta,57.61532833,0.417430628,M,SMC3,60017,ubi156,59.45007496,0.430723609,0.424077119
alpha,68.24513047,0.683361605,M,Control,TRiPsc,ubi156,68.15490652,0.682458162,0.682909884
alpha,69.998,0.692500989,M,Control,TRiPsc,ubi156,66.502,0.657914523,0.675207756
alpha,66.08060921,0.666770645,F,Control,TRiPsc,ubi156,64.64771606,0.652312378,0.659541512
alpha,72.47158433,0.695922856,F,Control,TRiPsc,ubi156,63.96721239,0.614257927,0.655090392
alpha,64.63559998,0.63326478,M,Control,TRiPsc,ubi156,67.4071724,0.660419153,0.646841967
alpha,72.27684447,0.662812751,F,Control,TRiPsc,ubi156,68.24689189,0.625856185,0.644334468
alpha,67.20535621,0.646627791,F,Control,TRiPsc,ubi156,65.59774235,0.631159861,0.638893826
alpha,65.71345526,0.617246723,F,Control,TRiPsc,ubi156,68.41468145,0.64261935,0.629933037
alpha,62.70529796,0.620484208,M,Control,TRiPsc,ubi156,64.04220025,0.633713182,0.627098695
alpha,73.40187195,0.612174172,F,Control,TRiPsc,ubi156,76.43488969,0.637469646,0.624821909
alpha,59.1306617,0.599350595,M,Control,TRiPsc,ubi156,63.8141538,0.646822645,0.62308662
alpha,65.362,0.593876068,M,Control,TRiPsc,ubi156,71.383,0.648582591,0.62122933
alpha,66.431,0.621198803,M,Control,TRiPsc,ubi156,65.734,0.61468113,0.617939967
alpha,62.737,0.607269383,M,Control,TRiPsc,ubi156,64.93,0.628496757,0.61788307
alpha,69.04799236,0.623419729,F,Control,TRiPsc,ubi156,66.76787586,0.602833039,0.613126384
alpha,63.8417586,0.594294766,F,Control,TRiPsc,ubi156,66.24868963,0.61670058,0.605497673
alpha,63.90318577,0.612915102,M,Control,TRiPsc,ubi156,61.51636648,0.590022385,0.601468744
alpha,69.18872504,0.631132719,F,Control,TRiPsc,ubi156,62.21732294,0.567540277,0.599336498
alpha,65.45,0.627877974,M,Control,TRiPsc,ubi156,59.481,0.570615886,0.59924693
alpha,61.289,0.583315885,M,Control,TRiPsc,ubi156,63.371,0.603131246,0.593223566
alpha,77.660603,0.58912966,F,Control,TRiPsc,ubi156,76.68702987,0.581744181,0.585436921
alpha,62.83169979,0.570372184,M,Control,TRiPsc,ubi156,66.13445603,0.60035387,0.585363027
alpha,62.77571728,0.551596241,M,Control,TRiPsc,ubi156,69.33885016,0.609265027,0.580430634
beta,59.83658009,0.592097545,M,Control,TRiPsc,ubi156,57.04745266,0.56449845,0.578297998
alpha,68.41519816,0.604344948,F,Control,TRiPsc,ubi156,61.71192049,0.545131614,0.574738281
alpha,70.22367156,0.560038505,F,Control,TRiPsc,ubi156,73.8863028,0.589248236,0.574643371
alpha,69.50161115,0.569714257,F,Control,TRiPsc,ubi156,70.33793634,0.576569729,0.573141993
alpha,62.214,0.581113394,M,Control,TRiPsc,ubi156,59.735,0.557958154,0.569535774
alpha,65.03912613,0.571309659,F,Control,TRiPsc,ubi156,64.34397217,0.565203363,0.568256511
alpha,64.27371296,0.562187542,F,Control,TRiPsc,ubi156,65.01983385,0.568713691,0.565450617
alpha,69.95476728,0.548303745,F,Control,TRiPsc,ubi156,73.97700214,0.579829923,0.564066834
alpha,62.13086129,0.537344223,M,Control,TRiPsc,ubi156,66.08789992,0.57156702,0.554455622
alpha,70.80277196,0.572626436,F,Control,TRiPsc,ubi156,64.85886421,0.524554325,0.548590381
beta,67.33542423,0.537004538,F,Control,TRiPsc,ubi156,69.7761151,0.556469212,0.546736875
beta,59.57538823,0.572084559,F,Control,TRiPsc,ubi156,54.2477823,0.520925159,0.546504859
alpha,56.38483666,0.53219199,M,Control,TRiPsc,ubi156,59.38420652,0.56050174,0.546346865
alpha,63.72980152,0.521637026,F,Control,TRiPsc,ubi156,69.2650749,0.566943986,0.544290506
alpha,60.532,0.543716878,M,Control,TRiPsc,ubi156,59.645,0.535749573,0.539733226
alpha,61.56022794,0.48148084,F,Control,TRiPsc,ubi156,75.68991323,0.591993308,0.536737074
beta,56.54108731,0.573102572,M,Control,TRiPsc,ubi156,47.68650016,0.483352146,0.528227359
alpha,66.0096617,0.547703939,M,Control,TRiPsc,ubi156,60.65224997,0.503251726,0.525477833
alpha,62.5888263,0.502325532,M,Control,TRiPsc,ubi156,67.84813806,0.544535727,0.52343063
beta,50.27452202,0.492562676,M,Control,TRiPsc,ubi156,55.61559308,0.544891613,0.518727145
beta,62.85060575,0.552085495,F,Control,TRiPsc,ubi156,54.86471946,0.481936736,0.517011116
beta,58.44328581,0.535952494,F,Control,TRiPsc,ubi156,54.09881333,0.496111632,0.516032063
alpha,60.05290184,0.501327423,M,Control,TRiPsc,ubi156,63.29642549,0.528404672,0.514866048
beta,59.40157757,0.521948427,M,Control,TRiPsc,ubi156,57.78619812,0.507754448,0.514851438
beta,50.50277883,0.505701429,M,Control,TRiPsc,ubi156,51.77596495,0.518450273,0.512075851
beta,57.50823161,0.507998372,F,Control,TRiPsc,ubi156,57.15952225,0.504918051,0.506458212
beta,54.32724961,0.522718893,F,Control,TRiPsc,ubi156,50.50250396,0.485918451,0.504318672
beta,52.806,0.511141225,M,Control,TRiPsc,ubi156,51.114,0.494763334,0.50295228
beta,57.586,0.537885298,M,Control,TRiPsc,ubi156,49.858,0.465701476,0.501793387
beta,54.94767242,0.496110921,F,Control,TRiPsc,ubi156,56.09316963,0.506453373,0.501282147
beta,52.303,0.497791948,M,Control,TRiPsc,ubi156,52.446,0.499152946,0.498472447
beta,52.20981324,0.500760371,M,Control,TRiPsc,ubi156,51.63912884,0.495286762,0.498023567
beta,56.45209767,0.512459576,M,Control,TRiPsc,ubi156,53.21323999,0.483057947,0.497758762
beta,46.972,0.464701227,M,Control,TRiPsc,ubi156,53.632,0.530589632,0.49764543
beta,53.07888347,0.484180334,F,Control,TRiPsc,ubi156,55.84613905,0.509422967,0.496801651
beta,49.822,0.465887414,M,Control,TRiPsc,ubi156,56.389,0.52729568,0.496591547
beta,60.47430206,0.528954959,F,Control,TRiPsc,ubi156,52.42630263,0.458560939,0.493757949
beta,53.528,0.513507291,M,Control,TRiPsc,ubi156,48.636,0.46657713,0.490042211
beta,62.8668425,0.508443596,F,Control,TRiPsc,ubi156,58.29451887,0.471464346,0.489953971
beta,51.47957608,0.485893365,M,Control,TRiPsc,ubi156,51.89441936,0.489808891,0.487851128
beta,54.637,0.490766191,M,Control,TRiPsc,ubi156,53.889,0.484047427,0.487406809
beta,53.172,0.483118299,M,Control,TRiPsc,ubi156,54.014,0.490768672,0.486943486
beta,55.03474256,0.456641414,M,Control,TRiPsc,ubi156,62.09576071,0.515229011,0.485935213
beta,52.65110039,0.49012236,F,Control,TRiPsc,ubi156,51.69303999,0.481203899,0.48566313
beta,56.13981293,0.468207998,F,Control,TRiPsc,ubi156,60.32205091,0.503088008,0.485648003
beta,64.15805848,0.501641539,F,Control,TRiPsc,ubi156,59.7650371,0.467293212,0.484467376
beta,50.05549168,0.505073014,F,Control,TRiPsc,ubi156,45.78041463,0.461936367,0.483504691
beta,57.90341812,0.483383325,M,Control,TRiPsc,ubi156,57.71773668,0.481833239,0.482608282
beta,50.03055335,0.469937168,F,Control,TRiPsc,ubi156,52.53483822,0.493459925,0.481698547
beta,57.70040914,0.499027067,M,Control,TRiPsc,ubi156,53.31749607,0.461121058,0.480074063
beta,60.19743062,0.47182598,F,Control,TRiPsc,ubi156,60.85846337,0.477007139,0.47441656
beta,60.6984533,0.460455595,F,Control,TRiPsc,ubi156,62.70014099,0.475640303,0.468047949
beta,58.24795996,0.467486598,M,Control,TRiPsc,ubi156,57.65394996,0.462719191,0.465102895
beta,59.10069869,0.483747195,F,Control,TRiPsc,ubi156,52.96020233,0.433486404,0.4586168
alpha,59.51205838,0.465315212,F,Control,TRiPsc,ubi156,56.96540501,0.445403339,0.455359276
beta,49.65234273,0.38834573,F,Control,TRiPsc,ubi156,63.8027862,0.499020555,0.443683143
beta,51.84705002,0.424997393,F,Control,TRiPsc,ubi156,55.27263084,0.45307735,0.439037372
