Gene,Line,Driver,Time,Sex,Control,Tap
Odc1,64498,ubi156,37.62,F,TRiPsc1,yes
Odc1,64498,ubi156,28.39,F,TRiPsc1,yes
Odc1,64498,ubi156,35.17,F,TRiPsc1,yes
Odc1,64498,ubi156,31.4,F,TRiPsc1,yes
Odc1,64498,ubi156,28.97,F,TRiPsc1,yes
Odc1,64498,ubi156,32.54,F,TRiPsc1,no
Odc1,64498,ubi156,36.75,F,TRiPsc1,no
Odc1,64498,ubi156,39.64,F,TRiPsc1,no
Odc1,64498,ubi156,36.17,F,TRiPsc1,no
Odc1,64498,ubi156,34.55,F,TRiPsc1,no
Odc1,64498,ubi156,30.64,F,TRiPsc1,no
Odc1,64498,ubi156,28.05,F,TRiPsc1,no
Odc1,64498,ubi156,35.2,F,TRiPsc1,no
Odc1,64498,ubi156,31.32,F,TRiPsc1,no
Odc1,64498,ubi156,35.21,F,TRiPsc1,no
Odc1,64498,ubi156,36.83,F,TRiPsc1,no
Odc1,64498,ubi156,32.03,F,TRiPsc1,no
Odc1,64498,ubi156,29.57,F,TRiPsc1,no
Odc1,64498,ubi156,32.52,F,TRiPsc1,no
Odc1,64498,ubi156,34.78,F,TRiPsc1,no
Odc1,64498,ubi156,36.45,F,TRiPsc1,no
Odc1,64498,ubi156,33.57,F,TRiPsc1,no
Odc1,64498,ubi156,37.97,F,TRiPsc1,no
Odc1,64498,ubi156,34.98,F,TRiPsc1,no
Odc1,64498,ubi156,31.54,F,TRiPsc1,no
Odc1,64498,ubi156,37.28,F,TRiPsc1,no
Odc1,64498,ubi156,36.11,F,TRiPsc1,no
Odc1,64498,ubi156,32.94,F,TRiPsc1,no
Odc1,64498,ubi156,33.11,F,TRiPsc1,no
Odc1,64498,ubi156,30.59,F,TRiPsc1,no
Odc1,64498,ubi156,33.01,F,TRiPsc1,no
Odc1,64498,ubi156,30.33,F,TRiPsc1,no
Odc1,64498,ubi156,37.77,F,TRiPsc1,no
Odc1,64498,ubi156,33.78,F,TRiPsc1,no
Odc1,64498,ubi156,34.72,F,TRiPsc1,no
Odc1,64498,ubi156,34.06,F,TRiPsc1,no
Odc1,64498,ubi156,34.53,F,TRiPsc1,no
Odc1,64498,ubi156,36.12,F,TRiPsc1,no
Odc1,64498,ubi156,31.44,F,TRiPsc1,no
Odc1,64498,ubi156,35.09,F,TRiPsc1,no
Odc1,64498,ubi156,16.91,F,TRiPsc1,no
Odc1,64498,ubi156,35.94,F,TRiPsc1,no
Odc1,64498,ubi156,29.2,F,TRiPsc1,no
Odc1,64498,ubi156,34.34,F,TRiPsc1,no
Odc1,64498,ubi156,33.7,F,TRiPsc1,no
Odc1,64498,ubi156,36.85,F,TRiPsc1,no
Odc1,64498,ubi156,34.91,F,TRiPsc1,no
Odc1,64498,ubi156,37.69,F,TRiPsc1,no
Odc1,64498,ubi156,43.12,M,TRiPsc1,no
Odc1,64498,ubi156,35.76,M,TRiPsc1,no
Odc1,64498,ubi156,40.71,M,TRiPsc1,no
Odc1,64498,ubi156,40.62,M,TRiPsc1,no
Odc1,64498,ubi156,37.63,M,TRiPsc1,no
Odc1,64498,ubi156,40.16,M,TRiPsc1,no
Odc1,64498,ubi156,42.61,M,TRiPsc1,no
Odc1,64498,ubi156,38.29,M,TRiPsc1,no
Odc1,64498,ubi156,41.8,M,TRiPsc1,no
Odc1,64498,ubi156,41.73,M,TRiPsc1,no
Odc1,64498,ubi156,44.52,M,TRiPsc1,no
Odc1,64498,ubi156,42.41,M,TRiPsc1,no
Odc1,64498,ubi156,44.27,M,TRiPsc1,no
Odc1,64498,ubi156,44.2,M,TRiPsc1,no
Odc1,64498,ubi156,40.57,M,TRiPsc1,no
Odc1,64498,ubi156,44.23,M,TRiPsc1,no
Odc1,64498,ubi156,40.84,M,TRiPsc1,no
Odc1,64498,ubi156,41.4,M,TRiPsc1,no
Odc1,64498,ubi156,42.99,M,TRiPsc1,no
Odc1,64498,ubi156,43.24,M,TRiPsc1,no
Odc1,64498,ubi156,39.91,M,TRiPsc1,no
Odc1,64498,ubi156,42.72,M,TRiPsc1,no
Odc1,64498,ubi156,41.86,M,TRiPsc1,no
Odc1,64498,ubi156,42.96,M,TRiPsc1,no
Odc1,64498,ubi156,41.76,M,TRiPsc1,no
Odc1,64498,ubi156,43.6,M,TRiPsc1,no
Odc1,64498,ubi156,38.17,M,TRiPsc1,no
Odc1,64498,ubi156,38.66,M,TRiPsc1,no
Odc1,64498,ubi156,38.54,M,TRiPsc1,no
Odc1,64498,ubi156,42.76,M,TRiPsc1,no
Odc1,64498,ubi156,37.97,M,TRiPsc1,no
Odc1,64498,ubi156,42.98,M,TRiPsc1,no
Odc1,64498,ubi156,42.74,M,TRiPsc1,no
Odc1,64498,ubi156,40.42,M,TRiPsc1,no
Odc1,64498,ubi156,43.3,M,TRiPsc1,no
Odc1,64498,ubi156,41.17,M,TRiPsc1,no
Odc1,64498,ubi156,42.72,M,TRiPsc1,no
Odc1,64498,ubi156,43.89,M,TRiPsc1,no
Odc1,64498,ubi156,27.67,M,TRiPsc1,no
Odc1,64498,ubi156,42.08,M,TRiPsc1,no
Odc1,64498,ubi156,41.7,M,TRiPsc1,no
Odc1,64498,ubi156,44,M,TRiPsc1,no
Odc1,64498,ubi156,42.81,M,TRiPsc1,no
Odc1,64498,ubi156,43.45,M,TRiPsc1,no
Odc1,64498,ubi156,43.22,M,TRiPsc1,no
Odc1,64498,ubi156,39.13,M,TRiPsc1,no
Odc1,64498,ubi156,43.13,M,TRiPsc1,no
Odc1,64498,ubi156,42.67,M,TRiPsc1,no
Mal-A4,62872,Ubi156,14.28,F,TRiPsc2,yes
Mal-A4,62872,Ubi156,9.9,F,TRiPsc2,yes
Mal-A4,62872,Ubi156,8.62,F,TRiPsc2,yes
Mal-A4,62872,Ubi156,40.79,F,TRiPsc2,no
Mal-A4,62872,Ubi156,39.09,F,TRiPsc2,no
Mal-A4,62872,Ubi156,39.15,F,TRiPsc2,no
Mal-A4,62872,Ubi156,40.39,F,TRiPsc2,no
Mal-A4,62872,Ubi156,27.82,F,TRiPsc2,no
Mal-A4,62872,Ubi156,36.29,F,TRiPsc2,no
Mal-A4,62872,Ubi156,30.43,F,TRiPsc2,no
Mal-A4,62872,Ubi156,30.41,F,TRiPsc2,no
Mal-A4,62872,Ubi156,37.78,F,TRiPsc2,no
Mal-A4,62872,Ubi156,22.08,F,TRiPsc2,no
Mal-A4,62872,Ubi156,30.52,F,TRiPsc2,no
Mal-A4,62872,Ubi156,42.03,F,TRiPsc2,no
Mal-A4,62872,Ubi156,36.04,F,TRiPsc2,no
Mal-A4,62872,Ubi156,35.04,F,TRiPsc2,no
Mal-A4,62872,Ubi156,37.42,F,TRiPsc2,no
Mal-A4,62872,Ubi156,34.63,F,TRiPsc2,no
Mal-A4,62872,Ubi156,38.32,F,TRiPsc2,no
Mal-A4,62872,Ubi156,39.66,F,TRiPsc2,no
Mal-A4,62872,Ubi156,32.26,F,TRiPsc2,no
Mal-A4,62872,Ubi156,38.6,F,TRiPsc2,no
Mal-A4,62872,Ubi156,36.19,F,TRiPsc2,no
Mal-A4,62872,Ubi156,30.59,F,TRiPsc2,no
Mal-A4,62872,Ubi156,33.66,F,TRiPsc2,no
Mal-A4,62872,Ubi156,31.69,F,TRiPsc2,no
Mal-A4,62872,Ubi156,39.46,F,TRiPsc2,no
Mal-A4,62872,Ubi156,10.97,F,TRiPsc2,no
Mal-A4,62872,Ubi156,36.02,F,TRiPsc2,no
Mal-A4,62872,Ubi156,34.34,F,TRiPsc2,no
Mal-A4,62872,Ubi156,32.74,F,TRiPsc2,no
Mal-A4,62872,Ubi156,35.58,F,TRiPsc2,no
Mal-A4,62872,Ubi156,37.2,F,TRiPsc2,no
Mal-A4,62872,Ubi156,40.13,F,TRiPsc2,no
Mal-A4,62872,Ubi156,28.22,F,TRiPsc2,no
Mal-A4,62872,Ubi156,40.27,F,TRiPsc2,no
Mal-A4,62872,Ubi156,33.24,F,TRiPsc2,no
Mal-A4,62872,Ubi156,31.15,F,TRiPsc2,no
Mal-A4,62872,Ubi156,34.68,F,TRiPsc2,no
Mal-A4,62872,Ubi156,38.25,F,TRiPsc2,no
Mal-A4,62872,Ubi156,40.98,F,TRiPsc2,no
Mal-A4,62872,Ubi156,38.84,F,TRiPsc2,no
Mal-A4,62872,Ubi156,40.12,F,TRiPsc2,no
Mal-A4,62872,Ubi156,41.83,F,TRiPsc2,no
Mal-A4,62872,Ubi156,37.29,F,TRiPsc2,no
Mal-A4,62872,Ubi156,35.29,F,TRiPsc2,no
Mal-A4,62872,Ubi156,34.87,F,TRiPsc2,no
Mal-A4,62872,Ubi156,11.5,F,TRiPsc2,no
Mal-A4,62872,Ubi156,36.23,F,TRiPsc2,no
Mal-A4,62872,Ubi156,38.89,M,TRiPsc2,yes
Mal-A4,62872,Ubi156,38.63,M,TRiPsc2,yes
Mal-A4,62872,Ubi156,31.68,M,TRiPsc2,yes
Mal-A4,62872,Ubi156,39.87,M,TRiPsc2,no
Mal-A4,62872,Ubi156,38.15,M,TRiPsc2,no
Mal-A4,62872,Ubi156,39.05,M,TRiPsc2,no
Mal-A4,62872,Ubi156,34.1,M,TRiPsc2,no
Mal-A4,62872,Ubi156,37.24,M,TRiPsc2,no
Mal-A4,62872,Ubi156,35.99,M,TRiPsc2,no
Mal-A4,62872,Ubi156,38.87,M,TRiPsc2,no
Mal-A4,62872,Ubi156,40.15,M,TRiPsc2,no
Mal-A4,62872,Ubi156,44.48,M,TRiPsc2,no
Mal-A4,62872,Ubi156,39.1,M,TRiPsc2,no
Mal-A4,62872,Ubi156,37.52,M,TRiPsc2,no
Mal-A4,62872,Ubi156,40.79,M,TRiPsc2,no
Mal-A4,62872,Ubi156,42.68,M,TRiPsc2,no
Mal-A4,62872,Ubi156,42.54,M,TRiPsc2,no
Mal-A4,62872,Ubi156,43.48,M,TRiPsc2,no
Mal-A4,62872,Ubi156,41.11,M,TRiPsc2,no
Mal-A4,62872,Ubi156,41.34,M,TRiPsc2,no
Mal-A4,62872,Ubi156,43.7,M,TRiPsc2,no
Mal-A4,62872,Ubi156,39.65,M,TRiPsc2,no
Mal-A4,62872,Ubi156,40.54,M,TRiPsc2,no
Mal-A4,62872,Ubi156,43.9,M,TRiPsc2,no
Mal-A4,62872,Ubi156,40.91,M,TRiPsc2,no
Mal-A4,62872,Ubi156,43.14,M,TRiPsc2,no
Mal-A4,62872,Ubi156,44.37,M,TRiPsc2,no
Mal-A4,62872,Ubi156,42.83,M,TRiPsc2,no
Mal-A4,62872,Ubi156,41.99,M,TRiPsc2,no
Mal-A4,62872,Ubi156,39.93,M,TRiPsc2,no
Mal-A4,62872,Ubi156,40.05,M,TRiPsc2,no
Mal-A4,62872,Ubi156,40.14,M,TRiPsc2,no
Mal-A4,62872,Ubi156,44.48,M,TRiPsc2,no
Mal-A4,62872,Ubi156,41.19,M,TRiPsc2,no
Mal-A4,62872,Ubi156,37.88,M,TRiPsc2,no
Mal-A4,62872,Ubi156,38.47,M,TRiPsc2,no
Mal-A4,62872,Ubi156,37.62,M,TRiPsc2,no
Mal-A4,62872,Ubi156,39.7,M,TRiPsc2,no
Mal-A4,62872,Ubi156,40.32,M,TRiPsc2,no
Mal-A4,62872,Ubi156,36.12,M,TRiPsc2,no
Mal-A4,62872,Ubi156,42.66,M,TRiPsc2,no
Mal-A4,62872,Ubi156,41.82,M,TRiPsc2,no
Mal-A4,62872,Ubi156,40.15,M,TRiPsc2,no
Mal-A4,62872,Ubi156,39.83,M,TRiPsc2,no
Mal-A4,62872,Ubi156,39.34,M,TRiPsc2,no
Mal-A4,62872,Ubi156,41.76,M,TRiPsc2,no
Mal-A4,62872,Ubi156,40.74,M,TRiPsc2,no
Mal-A4,62872,Ubi156,39.07,M,TRiPsc2,no
Mal-A4,62872,Ubi156,31.83,M,TRiPsc2,no
Mal-A4,62872,Ubi156,39.98,M,TRiPsc2,no
CG40485,66945,Ubi156,38.51,F,TRiPsc2,no
CG40485,66945,Ubi156,31.85,F,TRiPsc2,no
CG40485,66945,Ubi156,40,F,TRiPsc2,no
CG40485,66945,Ubi156,44.21,F,TRiPsc2,no
CG40485,66945,Ubi156,34.34,F,TRiPsc2,no
CG40485,66945,Ubi156,39.02,F,TRiPsc2,no
CG40485,66945,Ubi156,37.12,F,TRiPsc2,no
CG40485,66945,Ubi156,32.43,F,TRiPsc2,no
CG40485,66945,Ubi156,37.97,F,TRiPsc2,no
CG40485,66945,Ubi156,34.76,F,TRiPsc2,no
CG40485,66945,Ubi156,31.17,F,TRiPsc2,no
CG40485,66945,Ubi156,35.4,F,TRiPsc2,no
CG40485,66945,Ubi156,42.89,F,TRiPsc2,no
CG40485,66945,Ubi156,37.45,F,TRiPsc2,no
CG40485,66945,Ubi156,39.14,F,TRiPsc2,no
CG40485,66945,Ubi156,40.22,F,TRiPsc2,no
CG40485,66945,Ubi156,40.62,F,TRiPsc2,no
CG40485,66945,Ubi156,34.3,F,TRiPsc2,no
CG40485,66945,Ubi156,41.77,F,TRiPsc2,no
CG40485,66945,Ubi156,35.6,F,TRiPsc2,no
CG40485,66945,Ubi156,39.25,F,TRiPsc2,no
CG40485,66945,Ubi156,36.03,F,TRiPsc2,no
CG40485,66945,Ubi156,38.97,F,TRiPsc2,no
CG40485,66945,Ubi156,39.63,F,TRiPsc2,no
CG40485,66945,Ubi156,44.68,F,TRiPsc2,no
CG40485,66945,Ubi156,38.11,F,TRiPsc2,no
CG40485,66945,Ubi156,34.65,F,TRiPsc2,no
CG40485,66945,Ubi156,36.64,F,TRiPsc2,no
CG40485,66945,Ubi156,31.34,F,TRiPsc2,no
CG40485,66945,Ubi156,39.54,F,TRiPsc2,no
CG40485,66945,Ubi156,30.91,F,TRiPsc2,no
CG40485,66945,Ubi156,32.73,F,TRiPsc2,no
CG40485,66945,Ubi156,34.41,F,TRiPsc2,no
CG40485,66945,Ubi156,41.08,F,TRiPsc2,no
CG40485,66945,Ubi156,27.02,F,TRiPsc2,no
CG40485,66945,Ubi156,36.37,F,TRiPsc2,no
CG40485,66945,Ubi156,37.25,F,TRiPsc2,no
CG40485,66945,Ubi156,34.28,F,TRiPsc2,no
CG40485,66945,Ubi156,27.62,F,TRiPsc2,no
CG40485,66945,Ubi156,29.45,F,TRiPsc2,no
CG40485,66945,Ubi156,30.27,F,TRiPsc2,no
CG40485,66945,Ubi156,32.95,F,TRiPsc2,no
CG40485,66945,Ubi156,32.83,F,TRiPsc2,no
CG40485,66945,Ubi156,34.81,F,TRiPsc2,no
CG40485,66945,Ubi156,33.63,F,TRiPsc2,no
CG40485,66945,Ubi156,26.23,F,TRiPsc2,no
CG40485,66945,Ubi156,36.41,F,TRiPsc2,no
CG40485,66945,Ubi156,40.07,F,TRiPsc2,no
CG40485,66945,Ubi156,39.19,F,TRiPsc2,no
CG40485,66945,Ubi156,41.49,F,TRiPsc2,no
CG40485,66945,Ubi156,19.33,M,TRiPsc2,no
CG40485,66945,Ubi156,29.72,M,TRiPsc2,no
CG40485,66945,Ubi156,31.33,M,TRiPsc2,no
CG40485,66945,Ubi156,35.29,M,TRiPsc2,no
CG40485,66945,Ubi156,26.2,M,TRiPsc2,no
CG40485,66945,Ubi156,28.2,M,TRiPsc2,no
CG40485,66945,Ubi156,28.58,M,TRiPsc2,no
CG40485,66945,Ubi156,32.81,M,TRiPsc2,no
CG40485,66945,Ubi156,19.8,M,TRiPsc2,no
CG40485,66945,Ubi156,25.6,M,TRiPsc2,no
CG40485,66945,Ubi156,31.38,M,TRiPsc2,no
CG40485,66945,Ubi156,13.79,M,TRiPsc2,no
CG40485,66945,Ubi156,29.58,M,TRiPsc2,no
CG40485,66945,Ubi156,31.74,M,TRiPsc2,no
CG40485,66945,Ubi156,35.11,M,TRiPsc2,no
CG40485,66945,Ubi156,27.1,M,TRiPsc2,no
CG40485,66945,Ubi156,32.23,M,TRiPsc2,no
CG40485,66945,Ubi156,24.89,M,TRiPsc2,no
CG40485,66945,Ubi156,34.9,M,TRiPsc2,no
CG40485,66945,Ubi156,33.43,M,TRiPsc2,no
CG40485,66945,Ubi156,22.95,M,TRiPsc2,no
CG40485,66945,Ubi156,24.53,M,TRiPsc2,no
CG40485,66945,Ubi156,26.22,M,TRiPsc2,no
CG40485,66945,Ubi156,30.3,M,TRiPsc2,no
CG40485,66945,Ubi156,25.69,M,TRiPsc2,no
CG40485,66945,Ubi156,28.09,M,TRiPsc2,no
CG40485,66945,Ubi156,29.33,M,TRiPsc2,no
CG40485,66945,Ubi156,36.54,M,TRiPsc2,no
CG40485,66945,Ubi156,29.37,M,TRiPsc2,no
CG40485,66945,Ubi156,9.56,M,TRiPsc2,no
CG40485,66945,Ubi156,41.92,M,TRiPsc2,no
CG40485,66945,Ubi156,22.43,M,TRiPsc2,no
CG40485,66945,Ubi156,11.15,M,TRiPsc2,no
CG40485,66945,Ubi156,31.28,M,TRiPsc2,no
CG40485,66945,Ubi156,39.02,M,TRiPsc2,no
CG40485,66945,Ubi156,38.14,M,TRiPsc2,no
CG40485,66945,Ubi156,35.83,M,TRiPsc2,no
CG40485,66945,Ubi156,25.56,M,TRiPsc2,no
CG40485,66945,Ubi156,31.97,M,TRiPsc2,no
CG40485,66945,Ubi156,30.61,M,TRiPsc2,no
CG40485,66945,Ubi156,37.61,M,TRiPsc2,no
CG40485,66945,Ubi156,23.13,M,TRiPsc2,no
CG40485,66945,Ubi156,34.54,M,TRiPsc2,no
CG40485,66945,Ubi156,27.62,M,TRiPsc2,no
CG40485,66945,Ubi156,30.71,M,TRiPsc2,no
CG40485,66945,Ubi156,30.65,M,TRiPsc2,no
CG40485,66945,Ubi156,16.53,M,TRiPsc2,no
CG40485,66945,Ubi156,29.17,M,TRiPsc2,no
CG40485,66945,Ubi156,36.47,M,TRiPsc2,no
CG40485,66945,Ubi156,30.24,M,TRiPsc2,no
IntS12,80387,Ubi156,33.87,F,TRiPsc2,yes
IntS12,80387,Ubi156,14.32,F,TRiPsc2,yes
IntS12,80387,Ubi156,18.65,F,TRiPsc2,yes
IntS12,80387,Ubi156,40.4,F,TRiPsc2,no
IntS12,80387,Ubi156,40.59,F,TRiPsc2,no
IntS12,80387,Ubi156,43.12,F,TRiPsc2,no
IntS12,80387,Ubi156,40.22,F,TRiPsc2,no
IntS12,80387,Ubi156,40.18,F,TRiPsc2,no
IntS12,80387,Ubi156,39.17,F,TRiPsc2,no
IntS12,80387,Ubi156,44.05,F,TRiPsc2,no
IntS12,80387,Ubi156,43.55,F,TRiPsc2,no
IntS12,80387,Ubi156,39,F,TRiPsc2,no
IntS12,80387,Ubi156,42.96,F,TRiPsc2,no
IntS12,80387,Ubi156,36.39,F,TRiPsc2,no
IntS12,80387,Ubi156,39.16,F,TRiPsc2,no
IntS12,80387,Ubi156,42.69,F,TRiPsc2,no
IntS12,80387,Ubi156,39.71,F,TRiPsc2,no
IntS12,80387,Ubi156,39.62,F,TRiPsc2,no
IntS12,80387,Ubi156,41.97,F,TRiPsc2,no
IntS12,80387,Ubi156,41.44,F,TRiPsc2,no
IntS12,80387,Ubi156,42.64,F,TRiPsc2,no
IntS12,80387,Ubi156,38.25,F,TRiPsc2,no
IntS12,80387,Ubi156,33.65,F,TRiPsc2,no
IntS12,80387,Ubi156,42.17,F,TRiPsc2,no
IntS12,80387,Ubi156,41.17,F,TRiPsc2,no
IntS12,80387,Ubi156,43.64,F,TRiPsc2,no
IntS12,80387,Ubi156,41.07,F,TRiPsc2,no
IntS12,80387,Ubi156,39.05,F,TRiPsc2,no
IntS12,80387,Ubi156,40.31,F,TRiPsc2,no
IntS12,80387,Ubi156,38.47,F,TRiPsc2,no
IntS12,80387,Ubi156,39.73,F,TRiPsc2,no
IntS12,80387,Ubi156,35.64,F,TRiPsc2,no
IntS12,80387,Ubi156,33.56,F,TRiPsc2,no
IntS12,80387,Ubi156,36.5,F,TRiPsc2,no
IntS12,80387,Ubi156,43.59,F,TRiPsc2,no
IntS12,80387,Ubi156,39.46,F,TRiPsc2,no
IntS12,80387,Ubi156,43.15,F,TRiPsc2,no
IntS12,80387,Ubi156,39.74,F,TRiPsc2,no
IntS12,80387,Ubi156,41.32,F,TRiPsc2,no
IntS12,80387,Ubi156,29.05,F,TRiPsc2,no
IntS12,80387,Ubi156,30.32,F,TRiPsc2,no
IntS12,80387,Ubi156,34.06,F,TRiPsc2,no
IntS12,80387,Ubi156,37.97,F,TRiPsc2,no
IntS12,80387,Ubi156,35.41,F,TRiPsc2,no
IntS12,80387,Ubi156,28.64,F,TRiPsc2,no
IntS12,80387,Ubi156,39.5,F,TRiPsc2,no
IntS12,80387,Ubi156,39.27,F,TRiPsc2,no
IntS12,80387,Ubi156,31.93,F,TRiPsc2,no
IntS12,80387,Ubi156,41.23,F,TRiPsc2,no
IntS12,80387,Ubi156,37.64,F,TRiPsc2,no
IntS12,80387,Ubi156,30.71,M,TRiPsc2,yes
IntS12,80387,Ubi156,27.37,M,TRiPsc2,yes
IntS12,80387,Ubi156,31.27,M,TRiPsc2,yes
IntS12,80387,Ubi156,20.26,M,TRiPsc2,yes
IntS12,80387,Ubi156,33,M,TRiPsc2,no
IntS12,80387,Ubi156,35.05,M,TRiPsc2,no
IntS12,80387,Ubi156,33.96,M,TRiPsc2,no
IntS12,80387,Ubi156,38.32,M,TRiPsc2,no
IntS12,80387,Ubi156,35.67,M,TRiPsc2,no
IntS12,80387,Ubi156,30.91,M,TRiPsc2,no
IntS12,80387,Ubi156,36.67,M,TRiPsc2,no
IntS12,80387,Ubi156,37.91,M,TRiPsc2,no
IntS12,80387,Ubi156,39.16,M,TRiPsc2,no
IntS12,80387,Ubi156,34.04,M,TRiPsc2,no
IntS12,80387,Ubi156,39.74,M,TRiPsc2,no
IntS12,80387,Ubi156,32.16,M,TRiPsc2,no
IntS12,80387,Ubi156,37.44,M,TRiPsc2,no
IntS12,80387,Ubi156,40.52,M,TRiPsc2,no
IntS12,80387,Ubi156,39.62,M,TRiPsc2,no
IntS12,80387,Ubi156,40,M,TRiPsc2,no
IntS12,80387,Ubi156,39.24,M,TRiPsc2,no
IntS12,80387,Ubi156,38.81,M,TRiPsc2,no
IntS12,80387,Ubi156,40.61,M,TRiPsc2,no
IntS12,80387,Ubi156,39.99,M,TRiPsc2,no
IntS12,80387,Ubi156,38.55,M,TRiPsc2,no
IntS12,80387,Ubi156,33.21,M,TRiPsc2,no
IntS12,80387,Ubi156,38.13,M,TRiPsc2,no
IntS12,80387,Ubi156,31.71,M,TRiPsc2,no
IntS12,80387,Ubi156,37.64,M,TRiPsc2,no
IntS12,80387,Ubi156,35.62,M,TRiPsc2,no
IntS12,80387,Ubi156,36.64,M,TRiPsc2,no
IntS12,80387,Ubi156,43.26,M,TRiPsc2,no
IntS12,80387,Ubi156,35.88,M,TRiPsc2,no
IntS12,80387,Ubi156,33.3,M,TRiPsc2,no
IntS12,80387,Ubi156,38.82,M,TRiPsc2,no
IntS12,80387,Ubi156,35.26,M,TRiPsc2,no
IntS12,80387,Ubi156,37.54,M,TRiPsc2,no
IntS12,80387,Ubi156,41.48,M,TRiPsc2,no
IntS12,80387,Ubi156,39.91,M,TRiPsc2,no
IntS12,80387,Ubi156,31.99,M,TRiPsc2,no
IntS12,80387,Ubi156,34.96,M,TRiPsc2,no
IntS12,80387,Ubi156,39.07,M,TRiPsc2,no
IntS12,80387,Ubi156,41.57,M,TRiPsc2,no
IntS12,80387,Ubi156,32.48,M,TRiPsc2,no
IntS12,80387,Ubi156,33.83,M,TRiPsc2,no
IntS12,80387,Ubi156,38.28,M,TRiPsc2,no
IntS12,80387,Ubi156,40.05,M,TRiPsc2,no
IntS12,80387,Ubi156,40.37,M,TRiPsc2,no
IntS12,80387,Ubi156,37.99,M,TRiPsc2,no
IntS12,80387,Ubi156,36.36,M,TRiPsc2,no
