Line,Sex,Monitor,Channel,Activity
80387,F,Monitor5,ch1,571.5
80387,F,Monitor5,ch2,523
80387,F,Monitor5,ch3,444.8333333
80387,F,Monitor5,ch4,340.6666667
80387,F,Monitor5,ch5,449
80387,F,Monitor5,ch6,549.5
80387,F,Monitor5,ch7,1012.5
80387,F,Monitor5,ch8,174.6666667
80387,F,Monitor5,ch9,215
80387,F,Monitor5,ch10,286
80387,F,Monitor5,ch11,260.6666667
80387,F,Monitor5,ch12,412.5
80387,F,Monitor5,ch13,206.1666667
80387,F,Monitor5,ch14,73.83333333
80387,F,Monitor5,ch15,381.5
80387,F,Monitor5,ch16,448.6666667
80387,F,Monitor5,ch17,360.6666667
80387,F,Monitor5,ch18,348.5
80387,F,Monitor5,ch19,393.5
80387,F,Monitor5,ch20,784
80387,F,Monitor5,ch21,448.5
80387,F,Monitor5,ch22,88.83333333
80387,F,Monitor5,ch23,377.3333333
80387,F,Monitor5,ch24,565
80387,F,Monitor5,ch25,552.1666667
80387,F,Monitor5,ch26,393.3333333
80387,F,Monitor5,ch27,603.3333333
80387,F,Monitor5,ch28,579.1666667
80387,F,Monitor5,ch30,567.3333333
80387,F,Monitor5,ch31,362.6666667
80387,F,Monitor5,ch32,817.5
Control,F,Monitor7,ch1,531.5
Control,F,Monitor7,ch2,483
Control,F,Monitor7,ch3,410.1666667
Control,F,Monitor7,ch4,457.3333333
Control,F,Monitor7,ch5,556.1666667
Control,F,Monitor7,ch6,360.8333333
Control,F,Monitor7,ch7,540.8333333
Control,F,Monitor7,ch8,283.1666667
Control,F,Monitor7,ch9,403.8333333
Control,F,Monitor7,ch10,718.1666667
Control,F,Monitor7,ch11,237
Control,F,Monitor7,ch12,585
Control,F,Monitor7,ch13,457.3333333
Control,F,Monitor7,ch14,550
Control,F,Monitor7,ch15,442.8333333
Control,F,Monitor7,ch16,352.6666667
Control,F,Monitor7,ch17,652.5
Control,F,Monitor7,ch18,490.5
Control,F,Monitor7,ch19,357.6666667
Control,F,Monitor7,ch20,464.8333333
Control,F,Monitor7,ch21,469
Control,F,Monitor7,ch22,261
Control,F,Monitor7,ch23,618.3333333
Control,F,Monitor7,ch24,760
Control,F,Monitor7,ch25,498.3333333
Control,F,Monitor7,ch26,474.3333333
Control,F,Monitor7,ch27,408.5
Control,F,Monitor7,ch28,394.3333333
Control,F,Monitor7,ch29,611.3333333
Control,F,Monitor7,ch30,531.3333333
Control,F,Monitor7,ch31,355
Control,F,Monitor7,ch32,500.3333333
56014,M,Monitor8,ch1,436.3333333
56014,M,Monitor8,ch2,344.3333333
56014,M,Monitor8,ch3,640.6666667
56014,M,Monitor8,ch4,452.3333333
56014,M,Monitor8,ch5,565.5
56014,M,Monitor8,ch6,443.8333333
56014,M,Monitor8,ch7,405.3333333
56014,M,Monitor8,ch8,490
56014,M,Monitor8,ch9,510.5
56014,M,Monitor8,ch10,460
56014,M,Monitor8,ch11,370.6666667
56014,M,Monitor8,ch12,440.5
56014,M,Monitor8,ch13,490
56014,M,Monitor8,ch14,321.3333333
56014,M,Monitor8,ch15,301
56014,M,Monitor8,ch16,528
56014,M,Monitor8,ch17,738.3333333
56014,M,Monitor8,ch18,574.8333333
56014,M,Monitor8,ch19,422.1666667
56014,M,Monitor8,ch20,300.5
56014,M,Monitor8,ch21,296.8333333
56014,M,Monitor8,ch22,522.3333333
56014,M,Monitor8,ch23,610.5
56014,M,Monitor8,ch24,397.5
56014,M,Monitor8,ch25,368.3333333
56014,M,Monitor8,ch26,627.1666667
56014,M,Monitor8,ch27,418.6666667
56014,M,Monitor8,ch28,463
56014,M,Monitor8,ch29,392.5
56014,M,Monitor8,ch30,323.8333333
56014,M,Monitor8,ch31,330.8333333
56014,M,Monitor8,ch32,431.1666667
80387,M,Monitor18,ch1,485.8333333
80387,M,Monitor18,ch2,624
80387,M,Monitor18,ch3,798.5
80387,M,Monitor18,ch4,425.5
80387,M,Monitor18,ch5,363.5
80387,M,Monitor18,ch6,349.6666667
80387,M,Monitor18,ch7,288.6666667
80387,M,Monitor18,ch8,409
80387,M,Monitor18,ch9,397.3333333
80387,M,Monitor18,ch10,313
80387,M,Monitor18,ch11,451.1666667
80387,M,Monitor18,ch12,739.8333333
80387,M,Monitor18,ch13,490.1666667
80387,M,Monitor18,ch14,272.3333333
80387,M,Monitor18,ch15,180.8333333
80387,M,Monitor18,ch16,340.8333333
80387,M,Monitor18,ch17,334.1666667
80387,M,Monitor18,ch18,334.8333333
80387,M,Monitor18,ch19,382.3333333
80387,M,Monitor18,ch20,453.6666667
80387,M,Monitor18,ch21,437.3333333
80387,M,Monitor18,ch22,491.1666667
80387,M,Monitor18,ch23,508
80387,M,Monitor18,ch24,312
80387,M,Monitor18,ch26,207
80387,M,Monitor18,ch27,222.1666667
80387,M,Monitor18,ch28,575.1666667
80387,M,Monitor18,ch29,321
80387,M,Monitor18,ch30,590
80387,M,Monitor18,ch31,490.5
80387,M,Monitor18,ch32,291.6666667
64498,M,Monitor22,ch1,551.1666667
64498,M,Monitor22,ch2,594.1666667
64498,M,Monitor22,ch3,654.5
64498,M,Monitor22,ch4,291.1666667
64498,M,Monitor22,ch5,509.3333333
64498,M,Monitor22,ch6,746.1666667
64498,M,Monitor22,ch7,950.3333333
64498,M,Monitor22,ch8,702.6666667
64498,M,Monitor22,ch9,625
64498,M,Monitor22,ch10,703.6666667
64498,M,Monitor22,ch11,521.8333333
64498,M,Monitor22,ch12,577.3333333
64498,M,Monitor22,ch13,621
64498,M,Monitor22,ch14,600.5
64498,M,Monitor22,ch15,672.6666667
64498,M,Monitor22,ch16,704.5
64498,M,Monitor22,ch17,306.8333333
64498,M,Monitor22,ch18,528.1666667
64498,M,Monitor22,ch19,762
64498,M,Monitor22,ch20,250.3333333
64498,M,Monitor22,ch21,564.3333333
64498,M,Monitor22,ch22,626.8333333
64498,M,Monitor22,ch23,370.1666667
64498,M,Monitor22,ch24,767.3333333
64498,M,Monitor22,ch25,763.3333333
64498,M,Monitor22,ch26,672.6666667
64498,M,Monitor22,ch27,501.8333333
64498,M,Monitor22,ch28,492.1666667
64498,M,Monitor22,ch29,459.3333333
64498,M,Monitor22,ch30,936.1666667
64498,M,Monitor22,ch31,485.8333333
64498,M,Monitor22,ch32,986.8333333
Control,M,Monitor24,ch1,311.6666667
Control,M,Monitor24,ch3,270.1666667
Control,M,Monitor24,ch4,343.3333333
Control,M,Monitor24,ch5,320
Control,M,Monitor24,ch6,152
Control,M,Monitor24,ch7,229.3333333
Control,M,Monitor24,ch8,411.8333333
Control,M,Monitor24,ch9,682.8333333
Control,M,Monitor24,ch10,687.5
Control,M,Monitor24,ch11,311.3333333
Control,M,Monitor24,ch12,347.1666667
Control,M,Monitor24,ch13,122.1666667
Control,M,Monitor24,ch14,352.8333333
Control,M,Monitor24,ch15,245.8333333
Control,M,Monitor24,ch16,76.83333333
Control,M,Monitor24,ch17,411
Control,M,Monitor24,ch18,201.8333333
Control,M,Monitor24,ch19,90.16666667
Control,M,Monitor24,ch20,357.1666667
Control,M,Monitor24,ch21,162.5
Control,M,Monitor24,ch22,290.5
Control,M,Monitor24,ch23,324.1666667
Control,M,Monitor24,ch24,124
Control,M,Monitor24,ch25,586.6666667
Control,M,Monitor24,ch26,235.8333333
Control,M,Monitor24,ch27,353.1666667
Control,M,Monitor24,ch28,301.8333333
Control,M,Monitor24,ch29,362.8333333
Control,M,Monitor24,ch30,286.3333333
Control,M,Monitor24,ch31,388.1666667
Control,M,Monitor24,ch32,257.1666667
62872,M,Monitor56,ch1,552.8333333
62872,M,Monitor56,ch2,723.3333333
62872,M,Monitor56,ch3,785.1666667
62872,M,Monitor56,ch4,538.1666667
62872,M,Monitor56,ch5,625.5
62872,M,Monitor56,ch6,443.3333333
62872,M,Monitor56,ch7,999.5
62872,M,Monitor56,ch8,556.5
62872,M,Monitor56,ch9,776.8333333
62872,M,Monitor56,ch10,662.1666667
62872,M,Monitor56,ch11,486.3333333
62872,M,Monitor56,ch12,403.3333333
62872,M,Monitor56,ch13,628
62872,M,Monitor56,ch14,563.3333333
62872,M,Monitor56,ch15,693.5
62872,M,Monitor56,ch16,483.3333333
62872,M,Monitor56,ch17,658
62872,M,Monitor56,ch18,259.1666667
62872,M,Monitor56,ch19,429.8333333
62872,M,Monitor56,ch20,516.6666667
62872,M,Monitor56,ch21,818.3333333
62872,M,Monitor56,ch22,742.1666667
62872,M,Monitor56,ch23,441.3333333
62872,M,Monitor56,ch24,705.8333333
62872,M,Monitor56,ch25,610
62872,M,Monitor56,ch26,719
62872,M,Monitor56,ch27,601.5
62872,M,Monitor56,ch28,473.3333333
62872,M,Monitor56,ch29,404.1666667
62872,M,Monitor56,ch30,724.3333333
62872,M,Monitor56,ch31,320.1666667
62872,M,Monitor56,ch32,463.5
62872,F,Monitor58,ch1,713
62872,F,Monitor58,ch2,455.6666667
62872,F,Monitor58,ch3,654.6666667
62872,F,Monitor58,ch5,364.6666667
62872,F,Monitor58,ch6,942
62872,F,Monitor58,ch7,799.8333333
62872,F,Monitor58,ch8,689
62872,F,Monitor58,ch9,671.1666667
62872,F,Monitor58,ch10,774.6666667
62872,F,Monitor58,ch11,529.5
62872,F,Monitor58,ch12,547
62872,F,Monitor58,ch13,700.1666667
62872,F,Monitor58,ch14,513.5
62872,F,Monitor58,ch15,441.1666667
62872,F,Monitor58,ch16,725.3333333
62872,F,Monitor58,ch17,623.5
62872,F,Monitor58,ch18,497.3333333
62872,F,Monitor58,ch19,424
62872,F,Monitor58,ch20,574.5
62872,F,Monitor58,ch21,814.6666667
62872,F,Monitor58,ch22,388.5
62872,F,Monitor58,ch23,700
62872,F,Monitor58,ch24,694.6666667
62872,F,Monitor58,ch25,467.8333333
62872,F,Monitor58,ch26,600.5
62872,F,Monitor58,ch27,490.5
62872,F,Monitor58,ch28,431.1666667
62872,F,Monitor58,ch29,453
62872,F,Monitor58,ch30,352
62872,F,Monitor58,ch31,361.5
62872,F,Monitor58,ch32,502.8333333
55690,F,Monitor59,ch1,285.3333333
55690,F,Monitor59,ch2,186.8333333
55690,F,Monitor59,ch3,333.5
55690,F,Monitor59,ch4,373.5
55690,F,Monitor59,ch5,476.6666667
55690,F,Monitor59,ch6,401.3333333
55690,F,Monitor59,ch7,311.6666667
55690,F,Monitor59,ch8,414.5
55690,F,Monitor59,ch9,652.8333333
55690,F,Monitor59,ch10,487
55690,F,Monitor59,ch11,447.1666667
55690,F,Monitor59,ch12,640.8333333
55690,F,Monitor59,ch13,532
55690,F,Monitor59,ch14,222.3333333
55690,F,Monitor59,ch17,661.6666667
55690,F,Monitor59,ch18,398
55690,F,Monitor59,ch19,306.6666667
55690,F,Monitor59,ch20,900.6666667
55690,F,Monitor59,ch21,313.1666667
55690,F,Monitor59,ch22,344.5
55690,F,Monitor59,ch23,265.5
55690,F,Monitor59,ch24,274.3333333
55690,F,Monitor59,ch25,445.8333333
55690,F,Monitor59,ch26,409.8333333
55690,F,Monitor59,ch27,547.8333333
55690,F,Monitor59,ch28,269.8333333
55690,F,Monitor59,ch29,238.6666667
55690,F,Monitor59,ch30,236.5
55690,F,Monitor59,ch31,307.8333333
55690,F,Monitor59,ch32,520.8333333
66945,M,Monitor60,ch1,681.6666667
66945,M,Monitor60,ch2,331.8333333
66945,M,Monitor60,ch3,227.5
66945,M,Monitor60,ch4,505.6666667
66945,M,Monitor60,ch5,357.8333333
66945,M,Monitor60,ch6,105.3333333
66945,M,Monitor60,ch7,348.6666667
66945,M,Monitor60,ch8,364.6666667
66945,M,Monitor60,ch9,168.8333333
66945,M,Monitor60,ch10,197.1666667
66945,M,Monitor60,ch11,434.5
66945,M,Monitor60,ch12,492.5
66945,M,Monitor60,ch13,356.8333333
66945,M,Monitor60,ch14,147.8333333
66945,M,Monitor60,ch15,553.8333333
66945,M,Monitor60,ch16,404.1666667
66945,M,Monitor60,ch17,374.5
66945,M,Monitor60,ch18,534.3333333
66945,M,Monitor60,ch19,543.3333333
66945,M,Monitor60,ch20,195
66945,M,Monitor60,ch21,162
66945,M,Monitor60,ch22,295.1666667
66945,M,Monitor60,ch23,376
66945,M,Monitor60,ch25,211.6666667
66945,M,Monitor60,ch26,370.5
66945,M,Monitor60,ch27,329.5
66945,M,Monitor60,ch28,293
66945,M,Monitor60,ch29,474.1666667
66945,M,Monitor60,ch30,457.8333333
66945,M,Monitor60,ch31,114.5
66945,M,Monitor60,ch32,870.8333333
56014,F,Monitor63,ch1,594
56014,F,Monitor63,ch2,717.6666667
56014,F,Monitor63,ch3,308.6666667
56014,F,Monitor63,ch4,324.5
56014,F,Monitor63,ch5,399.8333333
56014,F,Monitor63,ch6,658.6666667
56014,F,Monitor63,ch7,245.5
56014,F,Monitor63,ch8,481.6666667
56014,F,Monitor63,ch9,418.1666667
56014,F,Monitor63,ch10,443.5
56014,F,Monitor63,ch11,298
56014,F,Monitor63,ch12,386.8333333
56014,F,Monitor63,ch13,383.5
56014,F,Monitor63,ch14,564.5
56014,F,Monitor63,ch15,603.5
56014,F,Monitor63,ch16,763
56014,F,Monitor63,ch17,503
56014,F,Monitor63,ch18,529.6666667
56014,F,Monitor63,ch19,504.1666667
56014,F,Monitor63,ch20,376
56014,F,Monitor63,ch21,571.3333333
56014,F,Monitor63,ch22,330
56014,F,Monitor63,ch23,539.5
56014,F,Monitor63,ch24,412.1666667
56014,F,Monitor63,ch25,841
56014,F,Monitor63,ch26,496.5
56014,F,Monitor63,ch27,310
56014,F,Monitor63,ch28,729
56014,F,Monitor63,ch29,359.1666667
56014,F,Monitor63,ch30,538.5
56014,F,Monitor63,ch31,357.6666667
56014,F,Monitor63,ch32,852
66945,F,Monitor72,ch1,560.3333333
66945,F,Monitor72,ch2,587.5
66945,F,Monitor72,ch3,793.8333333
66945,F,Monitor72,ch4,252
66945,F,Monitor72,ch5,660
66945,F,Monitor72,ch6,363.3333333
66945,F,Monitor72,ch7,531
66945,F,Monitor72,ch8,666
66945,F,Monitor72,ch9,393.5
66945,F,Monitor72,ch10,562.8333333
66945,F,Monitor72,ch11,538.5
66945,F,Monitor72,ch12,513.3333333
66945,F,Monitor72,ch13,545.8333333
66945,F,Monitor72,ch14,481.3333333
66945,F,Monitor72,ch15,559.6666667
66945,F,Monitor72,ch16,250.6666667
66945,F,Monitor72,ch17,285.6666667
66945,F,Monitor72,ch18,586.8333333
66945,F,Monitor72,ch19,363
66945,F,Monitor72,ch20,416.1666667
66945,F,Monitor72,ch21,442.8333333
66945,F,Monitor72,ch22,456.6666667
66945,F,Monitor72,ch23,214.8333333
66945,F,Monitor72,ch24,635.8333333
66945,F,Monitor72,ch25,479.1666667
66945,F,Monitor72,ch26,637.1666667
66945,F,Monitor72,ch27,280.3333333
66945,F,Monitor72,ch28,263.5
66945,F,Monitor72,ch29,622.1666667
66945,F,Monitor72,ch30,517.1666667
66945,F,Monitor72,ch31,420.1666667
66945,F,Monitor72,ch32,529.1666667
55690,M,Monitor75,ch1,206.8333333
55690,M,Monitor75,ch2,275.3333333
55690,M,Monitor75,ch3,174.3333333
55690,M,Monitor75,ch4,277.6666667
55690,M,Monitor75,ch5,438.3333333
55690,M,Monitor75,ch6,609.5
55690,M,Monitor75,ch7,735.3333333
55690,M,Monitor75,ch8,489.8333333
55690,M,Monitor75,ch9,334
55690,M,Monitor75,ch10,149.3333333
55690,M,Monitor75,ch11,448.3333333
55690,M,Monitor75,ch12,207.5
55690,M,Monitor75,ch14,265
55690,M,Monitor75,ch15,265.1666667
55690,M,Monitor75,ch16,294
55690,M,Monitor75,ch17,278.8333333
55690,M,Monitor75,ch18,370.5
55690,M,Monitor75,ch19,422.1666667
55690,M,Monitor75,ch20,386.1666667
55690,M,Monitor75,ch21,861
55690,M,Monitor75,ch22,194
55690,M,Monitor75,ch24,353.5
55690,M,Monitor75,ch25,578.6666667
55690,M,Monitor75,ch26,530.6666667
55690,M,Monitor75,ch27,559.1666667
55690,M,Monitor75,ch28,249.6666667
55690,M,Monitor75,ch29,304.8333333
55690,M,Monitor75,ch30,812.3333333
55690,M,Monitor75,ch32,275.1666667
64498,F,Monitor77,ch1,605.5
64498,F,Monitor77,ch2,651.5
64498,F,Monitor77,ch3,706.5
64498,F,Monitor77,ch4,774.1666667
64498,F,Monitor77,ch5,652.6666667
64498,F,Monitor77,ch6,573.3333333
64498,F,Monitor77,ch7,867.3333333
64498,F,Monitor77,ch8,549.3333333
64498,F,Monitor77,ch9,595.1666667
64498,F,Monitor77,ch10,585.3333333
64498,F,Monitor77,ch11,550.3333333
64498,F,Monitor77,ch12,251
64498,F,Monitor77,ch13,1065.666667
64498,F,Monitor77,ch14,738
64498,F,Monitor77,ch15,645.1666667
64498,F,Monitor77,ch16,483.6666667
64498,F,Monitor77,ch17,943.5
64498,F,Monitor77,ch18,498.6666667
64498,F,Monitor77,ch19,572.1666667
64498,F,Monitor77,ch20,448.1666667
64498,F,Monitor77,ch21,316.5
64498,F,Monitor77,ch22,628.1666667
64498,F,Monitor77,ch23,650
64498,F,Monitor77,ch24,467.1666667
64498,F,Monitor77,ch25,362.6666667
64498,F,Monitor77,ch26,609.6666667
64498,F,Monitor77,ch27,145.5
64498,F,Monitor77,ch28,654.6666667
64498,F,Monitor77,ch29,373
64498,F,Monitor77,ch30,791.3333333
64498,F,Monitor77,ch31,1133.666667
64498,F,Monitor77,ch32,446.3333333
