,Channel,Activity,Line,Genotype1,Genotype2,Sex
510,adj_Monitor68_ch12,1363.5714285714287,55690-32372,1,1,M
636,adj_Monitor70_ch12,1288.142857142857,64498-32372,1,1,M
330,adj_Monitor3_ch17,1278.142857142857,64498,1,0,M
366,adj_Monitor3_ch4,1227.5714285714287,64498,1,0,M
354,adj_Monitor3_ch28,1218.7142857142858,64498,1,0,M
130,adj_Monitor21_ch11,1182.2857142857142,55690,1,0,F
724,adj_Monitor77_ch24,1173.2857142857142,64498-32372,1,1,F
248,adj_Monitor22_ch7,1154.5714285714287,55690,1,0,M
672,adj_Monitor70_ch29,1116.4285714285713,64498-32372,1,1,M
564,adj_Monitor68_ch9,1108.0,55690-32372,1,1,M
346,adj_Monitor3_ch24,1081.142857142857,64498,1,0,M
660,adj_Monitor70_ch23,1075.2857142857142,64498-32372,1,1,M
336,adj_Monitor3_ch2,1058.142857142857,64498,1,0,M
686,adj_Monitor70_ch7,1045.2857142857142,64498-32372,1,1,M
344,adj_Monitor3_ch23,1043.857142857143,64498,1,0,M
454,adj_Monitor66_ch16,1032.2857142857142,32372,0,1,M
460,adj_Monitor66_ch19,1017.1428571428571,32372,0,1,M
440,adj_Monitor66_ch1,1002.5714285714286,32372,0,1,M
486,adj_Monitor66_ch30,985.5714285714286,32372,0,1,M
600,adj_Monitor69_ch25,932.4285714285714,55690-32372,1,1,F
502,adj_Monitor66_ch9,928.1428571428571,32372,0,1,M
536,adj_Monitor68_ch24,922.5714285714286,55690-32372,1,1,M
362,adj_Monitor3_ch31,916.1428571428571,64498,1,0,M
734,adj_Monitor77_ch29,906.7142857142857,64498-32372,1,1,F
250,adj_Monitor22_ch8,904.7142857142857,55690,1,0,M
556,adj_Monitor68_ch5,904.4285714285714,55690-32372,1,1,M
682,adj_Monitor70_ch5,902.1428571428571,64498-32372,1,1,M
726,adj_Monitor77_ch25,887.8571428571429,64498-32372,1,1,F
666,adj_Monitor70_ch26,881.1428571428571,64498-32372,1,1,M
144,adj_Monitor21_ch18,877.7142857142857,55690,1,0,F
650,adj_Monitor70_ch19,856.2857142857143,64498-32372,1,1,M
550,adj_Monitor68_ch31,849.4285714285714,55690-32372,1,1,M
370,adj_Monitor3_ch6,836.8571428571429,64498,1,0,M
692,adj_Monitor77_ch1,830.0,64498-32372,1,1,F
96,adj_Monitor20_ch25,828.4285714285714,64498,1,0,F
442,adj_Monitor66_ch10,828.2857142857143,32372,0,1,M
408,adj_Monitor62_ch24,819.2857142857143,32372,0,1,F
162,adj_Monitor21_ch26,812.4285714285714,55690,1,0,F
392,adj_Monitor62_ch16,802.1428571428571,32372,0,1,F
540,adj_Monitor68_ch26,800.1428571428571,55690-32372,1,1,M
430,adj_Monitor62_ch5,798.8571428571429,32372,0,1,F
474,adj_Monitor66_ch25,798.2857142857143,32372,0,1,M
356,adj_Monitor3_ch29,794.1428571428571,64498,1,0,M
530,adj_Monitor68_ch21,792.5714285714286,55690-32372,1,1,M
374,adj_Monitor3_ch8,783.4285714285714,64498,1,0,M
32,adj_Monitor1_ch24,777.7142857142857,tripsc,0,0,M
146,adj_Monitor21_ch19,777.5714285714286,55690,1,0,F
714,adj_Monitor77_ch2,764.2857142857143,64498-32372,1,1,F
446,adj_Monitor66_ch12,762.8571428571429,32372,0,1,M
158,adj_Monitor21_ch24,751.7142857142857,55690,1,0,F
124,adj_Monitor20_ch9,750.4285714285714,64498,1,0,F
718,adj_Monitor77_ch21,750.2857142857143,64498-32372,1,1,F
66,adj_Monitor20_ch11,748.5714285714286,64498,1,0,F
470,adj_Monitor66_ch23,742.4285714285714,32372,0,1,M
364,adj_Monitor3_ch32,742.1428571428571,64498,1,0,M
126,adj_Monitor21_ch1,742.0,55690,1,0,F
670,adj_Monitor70_ch28,738.8571428571429,64498-32372,1,1,M
688,adj_Monitor70_ch8,738.0,64498-32372,1,1,M
132,adj_Monitor21_ch12,735.0,55690,1,0,F
462,adj_Monitor66_ch2,733.2857142857143,32372,0,1,M
456,adj_Monitor66_ch17,724.7142857142857,32372,0,1,M
464,adj_Monitor66_ch20,720.8571428571429,32372,0,1,M
224,adj_Monitor22_ch25,718.7142857142857,55690,1,0,M
182,adj_Monitor21_ch6,714.0,55690,1,0,F
472,adj_Monitor66_ch24,711.0,32372,0,1,M
542,adj_Monitor68_ch27,710.5714285714286,55690-32372,1,1,M
406,adj_Monitor62_ch23,710.4285714285714,32372,0,1,F
482,adj_Monitor66_ch29,707.7142857142857,32372,0,1,M
638,adj_Monitor70_ch13,704.0,64498-32372,1,1,M
48,adj_Monitor1_ch32,699.4285714285714,tripsc,0,0,M
644,adj_Monitor70_ch16,698.5714285714286,64498-32372,1,1,M
236,adj_Monitor22_ch30,698.1428571428571,55690,1,0,M
376,adj_Monitor3_ch9,696.8571428571429,64498,1,0,M
316,adj_Monitor3_ch1,695.0,64498,1,0,M
176,adj_Monitor21_ch32,694.7142857142857,55690,1,0,F
328,adj_Monitor3_ch16,694.1428571428571,64498,1,0,M
716,adj_Monitor77_ch20,693.5714285714286,64498-32372,1,1,F
522,adj_Monitor68_ch18,693.5714285714286,55690-32372,1,1,M
188,adj_Monitor21_ch9,693.0,55690,1,0,F
180,adj_Monitor21_ch5,692.2857142857143,55690,1,0,F
656,adj_Monitor70_ch21,689.2857142857143,64498-32372,1,1,M
478,adj_Monitor66_ch27,686.4285714285714,32372,0,1,M
620,adj_Monitor69_ch5,686.0,55690-32372,1,1,F
352,adj_Monitor3_ch27,680.2857142857143,64498,1,0,M
394,adj_Monitor62_ch17,678.4285714285714,32372,0,1,F
184,adj_Monitor21_ch7,678.2857142857143,55690,1,0,F
560,adj_Monitor68_ch7,672.7142857142857,55690-32372,1,1,M
190,adj_Monitor22_ch1,671.4285714285714,55690,1,0,M
574,adj_Monitor69_ch13,667.2857142857143,55690-32372,1,1,F
428,adj_Monitor62_ch4,665.5714285714286,32372,0,1,F
122,adj_Monitor20_ch8,662.7142857142857,64498,1,0,F
108,adj_Monitor20_ch30,661.8571428571429,64498,1,0,F
326,adj_Monitor3_ch15,661.1428571428571,64498,1,0,M
722,adj_Monitor77_ch23,660.2857142857143,64498-32372,1,1,F
230,adj_Monitor22_ch28,660.2857142857143,55690,1,0,M
752,adj_Monitor77_ch8,660.1428571428571,64498-32372,1,1,F
676,adj_Monitor70_ch30,659.8571428571429,64498-32372,1,1,M
434,adj_Monitor62_ch7,656.4285714285714,32372,0,1,F
466,adj_Monitor66_ch21,656.0,32372,0,1,M
438,adj_Monitor62_ch9,649.7142857142857,32372,0,1,F
708,adj_Monitor77_ch17,648.5714285714286,64498-32372,1,1,F
400,adj_Monitor62_ch2,645.2857142857143,32372,0,1,F
594,adj_Monitor69_ch22,644.1428571428571,55690-32372,1,1,F
640,adj_Monitor70_ch14,644.0,64498-32372,1,1,M
562,adj_Monitor68_ch8,643.8571428571429,55690-32372,1,1,M
378,adj_Monitor62_ch1,643.1428571428571,32372,0,1,F
674,adj_Monitor70_ch3,637.4285714285714,64498-32372,1,1,M
490,adj_Monitor66_ch32,635.1428571428571,32372,0,1,M
278,adj_Monitor2_ch20,630.0,tripsc,0,0,F
700,adj_Monitor77_ch13,629.8571428571429,64498-32372,1,1,F
244,adj_Monitor22_ch5,629.4285714285714,55690,1,0,M
526,adj_Monitor68_ch2,628.0,55690-32372,1,1,M
212,adj_Monitor22_ch2,625.0,55690,1,0,M
654,adj_Monitor70_ch20,624.4285714285714,64498-32372,1,1,M
208,adj_Monitor22_ch18,621.8571428571429,55690,1,0,M
746,adj_Monitor77_ch5,620.4285714285714,64498-32372,1,1,F
14,adj_Monitor1_ch16,620.0,tripsc,0,0,M
632,adj_Monitor70_ch10,615.1428571428571,64498-32372,1,1,M
704,adj_Monitor77_ch15,613.4285714285714,64498-32372,1,1,F
196,adj_Monitor22_ch12,613.2857142857143,55690,1,0,M
118,adj_Monitor20_ch6,612.4285714285714,64498,1,0,F
324,adj_Monitor3_ch13,611.5714285714286,64498,1,0,M
512,adj_Monitor68_ch13,611.4285714285714,55690-32372,1,1,M
202,adj_Monitor22_ch15,610.0,55690,1,0,M
380,adj_Monitor62_ch10,610.0,32372,0,1,F
206,adj_Monitor22_ch17,607.1428571428571,55690,1,0,M
642,adj_Monitor70_ch15,606.0,64498-32372,1,1,M
528,adj_Monitor68_ch20,605.7142857142857,55690-32372,1,1,M
592,adj_Monitor69_ch21,604.2857142857143,55690-32372,1,1,F
186,adj_Monitor21_ch8,604.1428571428571,55690,1,0,F
520,adj_Monitor68_ch17,601.2857142857143,55690-32372,1,1,M
544,adj_Monitor68_ch28,599.5714285714286,55690-32372,1,1,M
240,adj_Monitor22_ch32,598.2857142857143,55690,1,0,M
548,adj_Monitor68_ch30,591.8571428571429,55690-32372,1,1,M
164,adj_Monitor21_ch27,591.5714285714286,55690,1,0,F
160,adj_Monitor21_ch25,590.1428571428571,55690,1,0,F
710,adj_Monitor77_ch18,588.0,64498-32372,1,1,F
332,adj_Monitor3_ch18,588.0,64498,1,0,M
732,adj_Monitor77_ch28,587.5714285714286,64498-32372,1,1,F
246,adj_Monitor22_ch6,584.7142857142857,55690,1,0,M
750,adj_Monitor77_ch7,584.1428571428571,64498-32372,1,1,F
174,adj_Monitor21_ch31,579.0,55690,1,0,F
668,adj_Monitor70_ch27,576.5714285714286,64498-32372,1,1,M
534,adj_Monitor68_ch23,574.8571428571429,55690-32372,1,1,M
308,adj_Monitor2_ch6,574.2857142857143,tripsc,0,0,F
234,adj_Monitor22_ch3,572.0,55690,1,0,M
382,adj_Monitor62_ch11,570.4285714285714,32372,0,1,F
58,adj_Monitor1_ch8,569.4285714285714,tripsc,0,0,M
104,adj_Monitor20_ch29,569.1428571428571,64498,1,0,F
334,adj_Monitor3_ch19,568.5714285714286,64498,1,0,M
214,adj_Monitor22_ch20,567.8571428571429,55690,1,0,M
360,adj_Monitor3_ch30,567.2857142857143,64498,1,0,M
388,adj_Monitor62_ch14,564.8571428571429,32372,0,1,F
136,adj_Monitor21_ch14,563.4285714285714,55690,1,0,F
310,adj_Monitor2_ch7,561.0,tripsc,0,0,F
742,adj_Monitor77_ch32,558.4285714285714,64498-32372,1,1,F
588,adj_Monitor69_ch2,555.0,55690-32372,1,1,F
634,adj_Monitor70_ch11,552.4285714285714,64498-32372,1,1,M
516,adj_Monitor68_ch15,552.1428571428571,55690-32372,1,1,M
652,adj_Monitor70_ch2,551.1428571428571,64498-32372,1,1,M
468,adj_Monitor66_ch22,547.2857142857143,32372,0,1,M
90,adj_Monitor20_ch22,546.8571428571429,64498,1,0,F
98,adj_Monitor20_ch26,545.0,64498,1,0,F
554,adj_Monitor68_ch4,545.0,55690-32372,1,1,M
678,adj_Monitor70_ch31,543.2857142857143,64498-32372,1,1,M
368,adj_Monitor3_ch5,539.0,64498,1,0,M
480,adj_Monitor66_ch28,535.2857142857143,32372,0,1,M
204,adj_Monitor22_ch16,532.2857142857143,55690,1,0,M
622,adj_Monitor69_ch6,529.8571428571429,55690-32372,1,1,F
706,adj_Monitor77_ch16,527.8571428571429,64498-32372,1,1,F
398,adj_Monitor62_ch19,527.4285714285714,32372,0,1,F
194,adj_Monitor22_ch11,525.0,55690,1,0,M
728,adj_Monitor77_ch26,523.4285714285714,64498-32372,1,1,F
348,adj_Monitor3_ch25,523.0,64498,1,0,M
114,adj_Monitor20_ch4,520.0,64498,1,0,F
606,adj_Monitor69_ch28,518.1428571428571,55690-32372,1,1,F
390,adj_Monitor62_ch15,517.5714285714286,32372,0,1,F
410,adj_Monitor62_ch25,516.0,32372,0,1,F
178,adj_Monitor21_ch4,515.2857142857143,55690,1,0,F
318,adj_Monitor3_ch10,513.1428571428571,64498,1,0,M
220,adj_Monitor22_ch23,512.5714285714286,55690,1,0,M
386,adj_Monitor62_ch13,512.2857142857143,32372,0,1,F
252,adj_Monitor22_ch9,512.0,55690,1,0,M
740,adj_Monitor77_ch31,509.7142857142857,64498-32372,1,1,F
218,adj_Monitor22_ch22,509.14285714285717,55690,1,0,M
744,adj_Monitor77_ch4,508.14285714285717,64498-32372,1,1,F
412,adj_Monitor62_ch26,506.85714285714283,32372,0,1,F
92,adj_Monitor20_ch23,506.57142857142856,64498,1,0,F
576,adj_Monitor69_ch14,504.85714285714283,55690-32372,1,1,F
546,adj_Monitor68_ch29,501.57142857142856,55690-32372,1,1,M
570,adj_Monitor69_ch11,501.0,55690-32372,1,1,F
342,adj_Monitor3_ch22,500.7142857142857,64498,1,0,M
696,adj_Monitor77_ch11,498.0,64498-32372,1,1,F
488,adj_Monitor66_ch31,497.2857142857143,32372,0,1,M
86,adj_Monitor20_ch20,494.42857142857144,64498,1,0,F
102,adj_Monitor20_ch28,489.7142857142857,64498,1,0,F
228,adj_Monitor22_ch27,489.42857142857144,55690,1,0,M
320,adj_Monitor3_ch11,489.2857142857143,64498,1,0,M
444,adj_Monitor66_ch11,488.42857142857144,32372,0,1,M
226,adj_Monitor22_ch26,488.0,55690,1,0,M
424,adj_Monitor62_ch31,484.2857142857143,32372,0,1,F
372,adj_Monitor3_ch7,484.0,64498,1,0,M
338,adj_Monitor3_ch20,483.0,64498,1,0,M
262,adj_Monitor2_ch13,481.7142857142857,tripsc,0,0,F
610,adj_Monitor69_ch3,480.7142857142857,55690-32372,1,1,F
420,adj_Monitor62_ch3,480.2857142857143,32372,0,1,F
106,adj_Monitor20_ch3,480.14285714285717,64498,1,0,F
350,adj_Monitor3_ch26,479.85714285714283,64498,1,0,M
322,adj_Monitor3_ch12,479.0,64498,1,0,M
276,adj_Monitor2_ch2,479.0,tripsc,0,0,F
630,adj_Monitor70_ch1,475.7142857142857,64498-32372,1,1,M
150,adj_Monitor21_ch20,475.57142857142856,55690,1,0,F
448,adj_Monitor66_ch13,473.42857142857144,32372,0,1,M
684,adj_Monitor70_ch6,472.85714285714283,64498-32372,1,1,M
172,adj_Monitor21_ch30,470.2857142857143,55690,1,0,F
142,adj_Monitor21_ch17,469.85714285714283,55690,1,0,F
624,adj_Monitor69_ch7,469.2857142857143,55690-32372,1,1,F
748,adj_Monitor77_ch6,469.2857142857143,64498-32372,1,1,F
580,adj_Monitor69_ch16,468.7142857142857,55690-32372,1,1,F
88,adj_Monitor20_ch21,468.42857142857144,64498,1,0,F
612,adj_Monitor69_ch30,467.42857142857144,55690-32372,1,1,F
238,adj_Monitor22_ch31,465.14285714285717,55690,1,0,M
76,adj_Monitor20_ch16,463.42857142857144,64498,1,0,F
62,adj_Monitor20_ch1,461.85714285714283,64498,1,0,F
418,adj_Monitor62_ch29,460.0,32372,0,1,F
44,adj_Monitor1_ch3,457.57142857142856,tripsc,0,0,M
258,adj_Monitor2_ch11,455.7142857142857,tripsc,0,0,F
720,adj_Monitor77_ch22,455.14285714285717,64498-32372,1,1,F
110,adj_Monitor20_ch31,453.85714285714283,64498,1,0,F
608,adj_Monitor69_ch29,453.57142857142856,55690-32372,1,1,F
598,adj_Monitor69_ch24,453.0,55690-32372,1,1,F
56,adj_Monitor1_ch7,452.7142857142857,tripsc,0,0,M
498,adj_Monitor66_ch7,451.14285714285717,32372,0,1,M
94,adj_Monitor20_ch24,450.7142857142857,64498,1,0,F
72,adj_Monitor20_ch14,448.42857142857144,64498,1,0,F
712,adj_Monitor77_ch19,447.42857142857144,64498-32372,1,1,F
504,adj_Monitor68_ch1,446.2857142857143,55690-32372,1,1,M
116,adj_Monitor20_ch5,443.0,64498,1,0,F
492,adj_Monitor66_ch4,440.14285714285717,32372,0,1,M
730,adj_Monitor77_ch27,440.0,64498-32372,1,1,F
596,adj_Monitor69_ch23,439.57142857142856,55690-32372,1,1,F
450,adj_Monitor66_ch14,439.14285714285717,32372,0,1,M
604,adj_Monitor69_ch27,439.14285714285717,55690-32372,1,1,F
74,adj_Monitor20_ch15,438.2857142857143,64498,1,0,F
414,adj_Monitor62_ch27,438.14285714285717,32372,0,1,F
484,adj_Monitor66_ch3,437.57142857142856,32372,0,1,M
384,adj_Monitor62_ch12,437.42857142857144,32372,0,1,F
298,adj_Monitor2_ch30,436.42857142857144,tripsc,0,0,F
30,adj_Monitor1_ch23,434.0,tripsc,0,0,M
568,adj_Monitor69_ch10,433.85714285714283,55690-32372,1,1,F
702,adj_Monitor77_ch14,433.7142857142857,64498-32372,1,1,F
358,adj_Monitor3_ch3,433.57142857142856,64498,1,0,M
572,adj_Monitor69_ch12,433.2857142857143,55690-32372,1,1,F
210,adj_Monitor22_ch19,433.14285714285717,55690,1,0,M
84,adj_Monitor20_ch2,433.14285714285717,64498,1,0,F
618,adj_Monitor69_ch4,430.85714285714283,55690-32372,1,1,F
198,adj_Monitor22_ch13,430.57142857142856,55690,1,0,M
140,adj_Monitor21_ch16,428.42857142857144,55690,1,0,F
260,adj_Monitor2_ch12,428.42857142857144,tripsc,0,0,F
120,adj_Monitor20_ch7,428.14285714285717,64498,1,0,F
578,adj_Monitor69_ch15,427.42857142857144,55690-32372,1,1,F
272,adj_Monitor2_ch18,426.2857142857143,tripsc,0,0,F
680,adj_Monitor70_ch32,423.85714285714283,64498-32372,1,1,M
254,adj_Monitor2_ch1,422.85714285714283,tripsc,0,0,F
294,adj_Monitor2_ch29,422.2857142857143,tripsc,0,0,F
12,adj_Monitor1_ch15,422.0,tripsc,0,0,M
586,adj_Monitor69_ch19,420.85714285714283,55690-32372,1,1,F
538,adj_Monitor68_ch25,414.42857142857144,55690-32372,1,1,M
694,adj_Monitor77_ch10,413.85714285714283,64498-32372,1,1,F
396,adj_Monitor62_ch18,413.14285714285717,32372,0,1,F
242,adj_Monitor22_ch4,412.42857142857144,55690,1,0,M
300,adj_Monitor2_ch31,410.85714285714283,tripsc,0,0,F
662,adj_Monitor70_ch24,410.57142857142856,64498-32372,1,1,M
280,adj_Monitor2_ch21,407.57142857142856,tripsc,0,0,F
154,adj_Monitor21_ch22,404.0,55690,1,0,F
422,adj_Monitor62_ch30,402.57142857142856,32372,0,1,F
402,adj_Monitor62_ch20,402.42857142857144,32372,0,1,F
426,adj_Monitor62_ch32,400.0,32372,0,1,F
658,adj_Monitor70_ch22,399.2857142857143,64498-32372,1,1,M
646,adj_Monitor70_ch17,399.0,64498-32372,1,1,M
754,adj_Monitor77_ch9,398.14285714285717,64498-32372,1,1,F
128,adj_Monitor21_ch10,397.7142857142857,55690,1,0,F
46,adj_Monitor1_ch31,396.14285714285717,tripsc,0,0,M
264,adj_Monitor2_ch14,390.42857142857144,tripsc,0,0,F
80,adj_Monitor20_ch18,386.2857142857143,64498,1,0,F
738,adj_Monitor77_ch30,384.0,64498-32372,1,1,F
168,adj_Monitor21_ch29,378.0,55690,1,0,F
52,adj_Monitor1_ch5,377.57142857142856,tripsc,0,0,M
82,adj_Monitor20_ch19,377.0,64498,1,0,F
156,adj_Monitor21_ch23,375.2857142857143,55690,1,0,F
506,adj_Monitor68_ch10,372.2857142857143,55690-32372,1,1,M
166,adj_Monitor21_ch28,368.7142857142857,55690,1,0,F
458,adj_Monitor66_ch18,368.14285714285717,32372,0,1,M
648,adj_Monitor70_ch18,364.2857142857143,64498-32372,1,1,M
626,adj_Monitor69_ch8,363.14285714285717,55690-32372,1,1,F
286,adj_Monitor2_ch24,361.57142857142856,tripsc,0,0,F
340,adj_Monitor3_ch21,359.57142857142856,64498,1,0,M
78,adj_Monitor20_ch17,358.42857142857144,64498,1,0,F
582,adj_Monitor69_ch17,357.42857142857144,55690-32372,1,1,F
532,adj_Monitor68_ch22,357.2857142857143,55690-32372,1,1,M
602,adj_Monitor69_ch26,356.57142857142856,55690-32372,1,1,F
6,adj_Monitor1_ch12,355.7142857142857,tripsc,0,0,M
494,adj_Monitor66_ch5,355.7142857142857,32372,0,1,M
566,adj_Monitor69_ch1,352.57142857142856,55690-32372,1,1,F
436,adj_Monitor62_ch8,347.2857142857143,32372,0,1,F
54,adj_Monitor1_ch6,343.14285714285717,tripsc,0,0,M
736,adj_Monitor77_ch3,342.14285714285717,64498-32372,1,1,F
312,adj_Monitor2_ch8,341.57142857142856,tripsc,0,0,F
192,adj_Monitor22_ch10,341.0,55690,1,0,M
274,adj_Monitor2_ch19,340.42857142857144,tripsc,0,0,F
552,adj_Monitor68_ch32,338.0,55690-32372,1,1,M
558,adj_Monitor68_ch6,336.0,55690-32372,1,1,M
256,adj_Monitor2_ch10,334.85714285714283,tripsc,0,0,F
404,adj_Monitor62_ch22,333.7142857142857,32372,0,1,F
314,adj_Monitor2_ch9,333.42857142857144,tripsc,0,0,F
628,adj_Monitor69_ch9,333.14285714285717,55690-32372,1,1,F
290,adj_Monitor2_ch27,332.57142857142856,tripsc,0,0,F
664,adj_Monitor70_ch25,331.7142857142857,64498-32372,1,1,M
508,adj_Monitor68_ch11,330.42857142857144,55690-32372,1,1,M
64,adj_Monitor20_ch10,330.14285714285717,64498,1,0,F
0,adj_Monitor1_ch1,329.85714285714283,tripsc,0,0,M
100,adj_Monitor20_ch27,328.42857142857144,64498,1,0,F
524,adj_Monitor68_ch19,328.0,55690-32372,1,1,M
268,adj_Monitor2_ch16,327.0,tripsc,0,0,F
500,adj_Monitor66_ch8,326.42857142857144,32372,0,1,M
24,adj_Monitor1_ch20,326.42857142857144,tripsc,0,0,M
296,adj_Monitor2_ch3,323.14285714285717,tripsc,0,0,F
416,adj_Monitor62_ch28,322.57142857142856,32372,0,1,F
306,adj_Monitor2_ch5,322.0,tripsc,0,0,F
222,adj_Monitor22_ch24,321.14285714285717,55690,1,0,M
690,adj_Monitor70_ch9,313.57142857142856,64498-32372,1,1,M
304,adj_Monitor2_ch4,312.42857142857144,tripsc,0,0,F
170,adj_Monitor21_ch3,311.0,55690,1,0,F
270,adj_Monitor2_ch17,309.85714285714283,tripsc,0,0,F
28,adj_Monitor1_ch22,309.57142857142856,tripsc,0,0,M
282,adj_Monitor2_ch22,308.0,tripsc,0,0,F
476,adj_Monitor66_ch26,307.85714285714283,32372,0,1,M
40,adj_Monitor1_ch28,307.42857142857144,tripsc,0,0,M
4,adj_Monitor1_ch11,299.2857142857143,tripsc,0,0,M
266,adj_Monitor2_ch15,299.0,tripsc,0,0,F
16,adj_Monitor1_ch17,291.85714285714283,tripsc,0,0,M
288,adj_Monitor2_ch26,290.85714285714283,tripsc,0,0,F
496,adj_Monitor66_ch6,286.42857142857144,32372,0,1,M
616,adj_Monitor69_ch32,285.85714285714283,55690-32372,1,1,F
22,adj_Monitor1_ch2,284.42857142857144,tripsc,0,0,M
514,adj_Monitor68_ch14,282.0,55690-32372,1,1,M
590,adj_Monitor69_ch20,281.85714285714283,55690-32372,1,1,F
698,adj_Monitor77_ch12,281.7142857142857,64498-32372,1,1,F
20,adj_Monitor1_ch19,273.2857142857143,tripsc,0,0,M
452,adj_Monitor66_ch15,271.42857142857144,32372,0,1,M
2,adj_Monitor1_ch10,271.2857142857143,tripsc,0,0,M
50,adj_Monitor1_ch4,264.57142857142856,tripsc,0,0,M
60,adj_Monitor1_ch9,260.57142857142856,tripsc,0,0,M
302,adj_Monitor2_ch32,259.0,tripsc,0,0,F
70,adj_Monitor20_ch13,255.57142857142858,64498,1,0,F
200,adj_Monitor22_ch14,254.71428571428572,55690,1,0,M
584,adj_Monitor69_ch18,251.28571428571428,55690-32372,1,1,F
432,adj_Monitor62_ch6,251.0,32372,0,1,F
518,adj_Monitor68_ch16,240.28571428571428,55690-32372,1,1,M
8,adj_Monitor1_ch13,238.71428571428572,tripsc,0,0,M
614,adj_Monitor69_ch31,236.71428571428572,55690-32372,1,1,F
18,adj_Monitor1_ch18,219.0,tripsc,0,0,M
68,adj_Monitor20_ch12,218.57142857142858,64498,1,0,F
152,adj_Monitor21_ch21,217.57142857142858,55690,1,0,F
284,adj_Monitor2_ch23,206.28571428571428,tripsc,0,0,F
112,adj_Monitor20_ch32,199.14285714285714,64498,1,0,F
26,adj_Monitor1_ch21,196.0,tripsc,0,0,M
36,adj_Monitor1_ch26,193.85714285714286,tripsc,0,0,M
232,adj_Monitor22_ch29,169.28571428571428,55690,1,0,M
10,adj_Monitor1_ch14,161.85714285714286,tripsc,0,0,M
216,adj_Monitor22_ch21,158.14285714285714,55690,1,0,M
134,adj_Monitor21_ch13,149.0,55690,1,0,F
138,adj_Monitor21_ch15,143.0,55690,1,0,F
42,adj_Monitor1_ch29,136.71428571428572,tripsc,0,0,M
148,adj_Monitor21_ch2,135.14285714285714,55690,1,0,F
292,adj_Monitor2_ch28,123.14285714285714,tripsc,0,0,F
34,adj_Monitor1_ch25,83.0,tripsc,0,0,M
38,adj_Monitor1_ch27,31.428571428571427,tripsc,0,0,M
