Gene,Line,Genotype1,Genotype2,Sex,Rep,Time,Tap
Control,control,0,0,F,43,38.99,N
Snr1,32372,0,1,M,19,4.59,Y
CG5877,55690,1,0,M,21,9.75,Y
CG5877,55690,1,0,M,36,11.25,N
Snr1,32372,0,1,M,10,11.53,N
Snr1,32372,0,1,M,47,16.36,N
CG5877-Snr1,55690-32372,1,1,F,17,16.75,N
Odc1-Snr1,64498-32372,1,1,M,10,16.93,N
Snr1,32372,0,1,M,45,17.04,Y
CG5877-Snr1,55690-32372,1,1,M,43,17.22,N
Snr1,32372,0,1,M,39,17.36,N
Snr1,32372,0,1,M,23,17.9,N
CG5877,55690,1,0,M,50,19.45,Y
Snr1,32372,0,1,M,34,19.58,Y
Snr1,32372,0,1,M,20,20.55,Y
Snr1,32372,0,1,M,8,20.77,Y
CG5877,55690,1,0,M,28,21.9,N
Odc1,64498,1,0,M,2,21.95,N
Snr1,32372,0,1,M,3,22.05,Y
Snr1,32372,0,1,M,14,22.11,Y
Snr1,32372,0,1,M,38,22.53,Y
Snr1,32372,0,1,F,22,23.2,N
Control,control,0,0,M,11,23.93,N
CG5877,55690,1,0,M,41,24.13,N
Snr1,32372,0,1,M,44,24.21,Y
Odc1-Snr1,64498-32372,1,1,M,20,24.39,Y
Odc1,64498,1,0,M,7,24.98,N
Odc1,64498,1,0,M,10,25.11,N
Snr1,32372,0,1,M,21,25.92,N
Odc1-Snr1,64498-32372,1,1,M,19,26.34,N
CG5877-Snr1,55690-32372,1,1,F,36,26.62,N
Snr1,32372,0,1,M,16,26.65,N
Odc1-Snr1,64498-32372,1,1,M,47,26.91,N
Snr1,32372,0,1,M,27,26.96,N
Snr1,32372,0,1,M,49,26.99,N
Odc1-Snr1,64498-32372,1,1,F,16,27.18,Y
CG5877,55690,1,0,M,8,27.33,Y
Odc1,64498,1,0,F,19,27.41,N
Snr1,32372,0,1,M,13,27.63,N
Control,control,0,0,F,37,27.69,N
Odc1,64498,1,0,F,15,27.99,N
Snr1,32372,0,1,M,7,28.08,Y
Snr1,32372,0,1,M,18,28.14,N
Odc1-Snr1,64498-32372,1,1,M,21,28.2,Y
Odc1,64498,1,0,F,18,28.25,N
Snr1,32372,0,1,M,25,28.28,N
Odc1,64498,1,0,F,13,28.37,N
Odc1-Snr1,64498-32372,1,1,M,38,28.48,Y
CG5877-Snr1,55690-32372,1,1,M,29,28.55,N
CG5877-Snr1,55690-32372,1,1,F,35,28.59,N
CG5877-Snr1,55690-32372,1,1,F,43,28.61,N
Snr1,32372,0,1,F,33,28.63,N
Odc1,64498,1,0,F,37,28.77,N
Odc1,64498,1,0,F,16,28.79,N
CG5877-Snr1,55690-32372,1,1,M,38,28.97,N
CG5877,55690,1,0,M,26,29.21,N
Odc1-Snr1,64498-32372,1,1,F,45,29.52,N
CG5877,55690,1,0,M,2,29.99,N
CG5877-Snr1,55690-32372,1,1,M,27,30.02,N
Odc1,64498,1,0,M,17,30.09,N
CG5877,55690,1,0,M,25,30.33,N
Snr1,32372,0,1,M,36,30.33,Y
Odc1,64498,1,0,M,24,30.55,N
CG5877-Snr1,55690-32372,1,1,M,40,30.55,N
Snr1,32372,0,1,M,6,30.57,N
Snr1,32372,0,1,M,15,30.6,N
CG5877-Snr1,55690-32372,1,1,M,31,30.63,N
CG5877,55690,1,0,F,18,30.67,N
Control,control,0,0,F,35,30.85,N
CG5877-Snr1,55690-32372,1,1,F,9,30.87,Y
CG5877,55690,1,0,F,11,30.89,Y
Odc1,64498,1,0,M,23,30.99,N
Odc1,64498,1,0,F,27,31,Y
Snr1,32372,0,1,M,50,31.19,N
CG5877-Snr1,55690-32372,1,1,M,22,31.36,N
CG5877,55690,1,0,M,43,31.37,N
Odc1,64498,1,0,M,22,31.37,Y
CG5877,55690,1,0,M,24,31.38,N
Odc1,64498,1,0,F,49,31.4,N
Snr1,32372,0,1,M,9,31.4,N
Odc1-Snr1,64498-32372,1,1,M,40,31.44,N
Odc1-Snr1,64498-32372,1,1,M,12,31.48,N
Odc1-Snr1,64498-32372,1,1,M,44,31.49,N
Snr1,32372,0,1,M,4,31.54,N
CG5877,55690,1,0,M,33,31.74,N
Odc1,64498,1,0,M,19,31.84,N
Odc1,64498,1,0,M,25,31.84,N
Snr1,32372,0,1,M,24,31.84,N
CG5877,55690,1,0,M,31,31.87,Y
Odc1,64498,1,0,M,28,31.89,N
Odc1-Snr1,64498-32372,1,1,M,11,31.89,N
Snr1,32372,0,1,F,2,31.99,N
CG5877-Snr1,55690-32372,1,1,F,24,32.05,N
CG5877,55690,1,0,F,29,32.09,N
Odc1,64498,1,0,F,22,32.14,N
Odc1-Snr1,64498-32372,1,1,M,9,32.17,N
CG5877,55690,1,0,F,14,32.41,N
CG5877,55690,1,0,M,42,32.48,N
CG5877-Snr1,55690-32372,1,1,M,35,32.5,Y
CG5877-Snr1,55690-32372,1,1,F,34,32.5,N
Snr1,32372,0,1,M,40,32.53,Y
Odc1,64498,1,0,F,9,32.73,N
CG5877,55690,1,0,M,30,32.74,N
Odc1-Snr1,64498-32372,1,1,F,37,32.74,N
Snr1,32372,0,1,M,12,32.79,N
CG5877,55690,1,0,M,48,32.88,N
CG5877-Snr1,55690-32372,1,1,M,6,32.89,N
Snr1,32372,0,1,M,46,32.92,N
Odc1-Snr1,64498-32372,1,1,M,17,32.93,N
Odc1,64498,1,0,F,20,32.95,Y
CG5877-Snr1,55690-32372,1,1,M,44,32.96,N
Odc1,64498,1,0,F,1,32.98,Y
CG5877,55690,1,0,M,35,33.06,N
Odc1,64498,1,0,M,8,33.12,N
Odc1,64498,1,0,F,10,33.13,N
Odc1-Snr1,64498-32372,1,1,M,27,33.14,N
CG5877,55690,1,0,F,19,33.17,N
CG5877,55690,1,0,M,15,33.21,N
CG5877,55690,1,0,M,45,33.21,N
Odc1,64498,1,0,F,17,33.28,N
Odc1-Snr1,64498-32372,1,1,M,14,33.29,N
CG5877-Snr1,55690-32372,1,1,F,39,33.32,N
CG5877,55690,1,0,F,44,33.45,Y
Odc1-Snr1,64498-32372,1,1,M,43,33.46,N
CG5877-Snr1,55690-32372,1,1,F,2,33.52,N
Snr1,32372,0,1,M,28,33.53,N
Odc1,64498,1,0,M,29,33.58,N
Snr1,32372,0,1,M,11,33.59,N
CG5877-Snr1,55690-32372,1,1,F,6,33.6,N
Control,control,0,0,F,48,33.61,Y
Snr1,32372,0,1,M,26,33.62,N
Odc1,64498,1,0,M,20,33.69,N
CG5877-Snr1,55690-32372,1,1,F,5,33.75,N
Snr1,32372,0,1,M,1,33.81,Y
CG5877-Snr1,55690-32372,1,1,M,32,33.89,N
Odc1-Snr1,64498-32372,1,1,M,26,33.89,N
Snr1,32372,0,1,F,28,33.92,N
Odc1,64498,1,0,F,6,34.05,N
Odc1-Snr1,64498-32372,1,1,M,29,34.05,Y
Odc1,64498,1,0,F,11,34.07,N
Odc1-Snr1,64498-32372,1,1,M,39,34.1,N
CG5877,55690,1,0,F,26,34.11,Y
CG5877,55690,1,0,M,29,34.14,N
Odc1-Snr1,64498-32372,1,1,M,28,34.18,N
Control,control,0,0,M,23,34.19,N
CG5877,55690,1,0,M,13,34.2,N
Odc1-Snr1,64498-32372,1,1,F,33,34.25,N
CG5877,55690,1,0,M,22,34.28,Y
CG5877-Snr1,55690-32372,1,1,F,50,34.29,N
CG5877,55690,1,0,M,1,34.32,N
Control,control,0,0,M,19,34.35,N
Odc1,64498,1,0,F,21,34.35,N
Snr1,32372,0,1,M,37,34.35,N
Odc1,64498,1,0,F,23,34.36,N
Control,control,0,0,F,6,34.43,N
Snr1,32372,0,1,M,48,34.46,Y
Odc1-Snr1,64498-32372,1,1,F,42,34.46,N
CG5877-Snr1,55690-32372,1,1,M,45,34.52,N
Odc1,64498,1,0,F,2,34.55,N
Snr1,32372,0,1,M,43,34.56,N
Odc1-Snr1,64498-32372,1,1,M,34,34.56,N
Control,control,0,0,F,42,34.58,N
Odc1,64498,1,0,M,30,34.59,N
Odc1,64498,1,0,F,29,34.59,N
Odc1,64498,1,0,F,25,34.61,N
Odc1-Snr1,64498-32372,1,1,F,25,34.68,N
Odc1-Snr1,64498-32372,1,1,F,8,34.71,N
CG5877-Snr1,55690-32372,1,1,F,40,34.73,N
CG5877-Snr1,55690-32372,1,1,F,4,34.76,N
CG5877,55690,1,0,F,13,34.77,N
Snr1,32372,0,1,F,45,34.77,N
CG5877-Snr1,55690-32372,1,1,M,46,34.77,N
Odc1,64498,1,0,F,8,34.8,N
CG5877,55690,1,0,M,14,34.83,N
CG5877-Snr1,55690-32372,1,1,F,22,34.87,N
CG5877-Snr1,55690-32372,1,1,F,18,34.91,N
CG5877-Snr1,55690-32372,1,1,F,42,34.94,N
Odc1,64498,1,0,F,5,34.96,N
Snr1,32372,0,1,F,49,35.17,N
Snr1,32372,0,1,M,30,35.18,N
CG5877,55690,1,0,M,34,35.24,N
Odc1,64498,1,0,F,40,35.24,N
CG5877-Snr1,55690-32372,1,1,F,41,35.3,N
Odc1,64498,1,0,F,12,35.35,N
CG5877-Snr1,55690-32372,1,1,M,30,35.36,N
CG5877,55690,1,0,F,22,35.37,N
CG5877,55690,1,0,F,9,35.44,N
Odc1-Snr1,64498-32372,1,1,M,41,35.44,N
Control,control,0,0,F,49,35.45,N
Odc1,64498,1,0,M,18,35.45,N
CG5877-Snr1,55690-32372,1,1,F,33,35.5,N
Snr1,32372,0,1,F,39,35.51,N
CG5877,55690,1,0,M,11,35.54,N
Snr1,32372,0,1,M,2,35.54,N
Odc1,64498,1,0,F,24,35.56,N
Snr1,32372,0,1,M,5,35.58,Y
Control,control,0,0,F,36,35.65,N
Odc1,64498,1,0,M,43,35.68,N
Odc1,64498,1,0,M,26,35.73,N
Control,control,0,0,M,28,35.77,N
Odc1,64498,1,0,F,3,35.81,N
CG5877-Snr1,55690-32372,1,1,F,12,35.83,N
Odc1,64498,1,0,M,3,35.84,N
Snr1,32372,0,1,F,13,35.85,N
CG5877-Snr1,55690-32372,1,1,F,28,35.87,N
CG5877,55690,1,0,M,19,35.89,N
CG5877,55690,1,0,F,8,35.89,N
Odc1,64498,1,0,M,38,35.9,N
CG5877,55690,1,0,F,7,35.96,N
CG5877,55690,1,0,F,15,36,N
Odc1,64498,1,0,F,32,36.02,N
CG5877,55690,1,0,F,25,36.13,N
CG5877,55690,1,0,F,24,36.16,N
Odc1,64498,1,0,F,33,36.2,N
Odc1,64498,1,0,M,5,36.24,Y
Odc1-Snr1,64498-32372,1,1,M,24,36.27,N
Odc1-Snr1,64498-32372,1,1,M,16,36.29,N
Control,control,0,0,F,10,36.32,N
CG5877,55690,1,0,M,6,36.33,N
Odc1,64498,1,0,F,35,36.34,N
Odc1-Snr1,64498-32372,1,1,M,37,36.34,N
CG5877-Snr1,55690-32372,1,1,F,15,36.36,N
Odc1-Snr1,64498-32372,1,1,M,25,36.37,N
CG5877-Snr1,55690-32372,1,1,M,37,36.38,N
Odc1-Snr1,64498-32372,1,1,M,7,36.42,N
Control,control,0,0,M,2,36.53,N
Control,control,0,0,M,30,36.53,N
Odc1,64498,1,0,F,4,36.53,N
Control,control,0,0,M,15,36.55,N
Odc1,64498,1,0,M,12,36.6,N
Odc1-Snr1,64498-32372,1,1,M,50,36.63,N
CG5877-Snr1,55690-32372,1,1,M,14,36.64,N
Odc1,64498,1,0,F,36,36.65,N
Snr1,32372,0,1,M,31,36.68,N
CG5877-Snr1,55690-32372,1,1,M,3,36.68,N
CG5877-Snr1,55690-32372,1,1,M,4,36.69,N
Control,control,0,0,F,11,36.73,N
Odc1,64498,1,0,F,39,36.76,N
Odc1,64498,1,0,M,9,36.77,N
Odc1,64498,1,0,F,41,36.77,N
Control,control,0,0,M,18,36.78,N
CG5877-Snr1,55690-32372,1,1,M,1,36.78,N
CG5877-Snr1,55690-32372,1,1,F,1,36.79,N
Control,control,0,0,F,28,36.81,N
Odc1-Snr1,64498-32372,1,1,M,13,36.83,N
CG5877,55690,1,0,M,44,36.89,N
CG5877-Snr1,55690-32372,1,1,F,23,36.94,N
CG5877-Snr1,55690-32372,1,1,F,19,37.06,N
Control,control,0,0,F,13,37.07,N
Odc1,64498,1,0,M,13,37.07,N
CG5877,55690,1,0,M,32,37.08,N
CG5877-Snr1,55690-32372,1,1,F,31,37.08,N
Odc1-Snr1,64498-32372,1,1,M,18,37.08,N
Odc1-Snr1,64498-32372,1,1,M,2,37.13,N
Odc1,64498,1,0,M,14,37.18,N
CG5877-Snr1,55690-32372,1,1,M,11,37.2,Y
Odc1-Snr1,64498-32372,1,1,M,30,37.22,N
CG5877-Snr1,55690-32372,1,1,M,13,37.27,N
CG5877,55690,1,0,M,49,37.28,N
Odc1,64498,1,0,M,45,37.28,N
Snr1,32372,0,1,M,35,37.28,N
Odc1,64498,1,0,M,35,37.29,N
Odc1-Snr1,64498-32372,1,1,F,10,37.29,N
CG5877-Snr1,55690-32372,1,1,F,45,37.32,N
Odc1,64498,1,0,F,14,37.34,N
Odc1,64498,1,0,F,26,37.34,N
Snr1,32372,0,1,F,10,37.34,N
Odc1-Snr1,64498-32372,1,1,M,46,37.35,N
CG5877-Snr1,55690-32372,1,1,M,36,37.37,N
CG5877-Snr1,55690-32372,1,1,F,37,37.4,N
CG5877-Snr1,55690-32372,1,1,F,38,37.4,N
Odc1-Snr1,64498-32372,1,1,F,38,37.4,N
Control,control,0,0,M,43,37.41,N
CG5877,55690,1,0,M,16,37.41,Y
CG5877,55690,1,0,M,17,37.41,N
Odc1,64498,1,0,M,11,37.42,N
Control,control,0,0,F,26,37.45,N
Odc1-Snr1,64498-32372,1,1,M,23,37.48,N
Control,control,0,0,F,50,37.5,N
Snr1,32372,0,1,F,6,37.51,N
CG5877-Snr1,55690-32372,1,1,M,39,37.51,N
CG5877,55690,1,0,M,7,37.52,N
CG5877-Snr1,55690-32372,1,1,M,48,37.52,N
CG5877-Snr1,55690-32372,1,1,F,8,37.54,N
Odc1,64498,1,0,M,36,37.56,N
CG5877-Snr1,55690-32372,1,1,M,47,37.59,N
CG5877,55690,1,0,F,10,37.62,N
Odc1-Snr1,64498-32372,1,1,F,34,37.64,N
CG5877,55690,1,0,M,12,37.66,N
Odc1,64498,1,0,M,6,37.66,N
CG5877,55690,1,0,F,34,37.67,N
Control,control,0,0,F,14,37.7,N
CG5877,55690,1,0,F,42,37.7,N
Control,control,0,0,M,16,37.72,N
Odc1,64498,1,0,M,21,37.75,N
Odc1-Snr1,64498-32372,1,1,M,36,37.75,N
CG5877,55690,1,0,M,47,37.77,N
CG5877,55690,1,0,F,1,37.79,N
Odc1-Snr1,64498-32372,1,1,M,15,37.79,N
Odc1,64498,1,0,M,27,37.81,N
CG5877,55690,1,0,M,40,37.83,N
Odc1,64498,1,0,M,48,37.83,N
